Attacker,Fast Move,Fast Type,Charged Move,Charged Type,Level,Landorus (Therian),Landorus,Arceus,Arceus (Bug),Arceus (Dark),Arceus (Dragon),Arceus (Electric),Arceus (Fairy),Arceus (Fighting),Arceus (Fire),Arceus (Flying),Arceus (Ghost),Arceus (Grass),Arceus (Ground),Arceus (Ice),Arceus (Poison),Arceus (Psychic),Arceus (Rock),Arceus (Steel),Arceus (Water),Articuno (Galarian),Shadow Articuno,Articuno,Shadow Azelf,Azelf,Calyrex,Calyrex (Ice Rider),Calyrex (Shadow Rider),Celebi,Shadow Celebi,Chien-Pao,Chi-Yu,Shadow Cobalion,Cobalion,Cosmoem,Cosmog,Shadow Cresselia,Cresselia,Shadow Darkrai,Darkrai,Dialga (Origin),Shadow Dialga,Dialga,Diancie,Shadow Entei,Entei,Eternatus,Eternatus (Eternamax),Glastrier,Shadow Groudon,Groudon,Shadow Heatran,Heatran,Shadow Ho-Oh,Ho-Oh,Jirachi,Shadow Jirachi,Keldeo,Koraidon,Kubfu,Shadow Kyogre,Kyogre,Kyurem (Black),Kyurem (White),Kyurem,Shadow Latias,Latias,Shadow Latios,Latios,Shadow Lugia,Lugia,Lunala,Magearna,Manaphy,Shadow Manaphy,Marshadow,Melmetal,Shadow Melmetal,Meloetta (Aria),Meloetta (Pirouette),Meltan,Shadow Meltan,Shadow Mesprit,Mesprit,Mew,Shadow Mewtwo,Mewtwo,Mewtwo (Armored),Miraidon,Moltres (Galarian),Shadow Moltres,Moltres,Necrozma,Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Ultra),Palkia (Origin),Shadow Palkia,Palkia,Phione,Shadow Phione,Shadow Raikou,Raikou,Shadow Rayquaza,Rayquaza,Shadow Regice,Regice,Shadow Regigigas,Regigigas,Shadow Regirock,Regirock,Shadow Registeel,Registeel,Shadow Reshiram,Reshiram,Shaymin (Land),Shaymin (Sky),Solgaleo,Spectrier,Shadow Suicune,Suicune,Shadow Terrakion,Terrakion,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Single Strike),Shadow Uxie,Uxie,Victini,Shadow Victini,Shadow Virizion,Virizion,Volcanion,Wo-Chien,Zacian (Crowned Sword),Zacian (Hero),Zamazenta (Crowned Shield),Zamazenta (Hero),Zapdos (Galarian),Shadow Zapdos,Zapdos,Zarude,Shadow Zekrom,Zekrom,Zeraora,Zygarde,Zygarde (Complete),Zygarde (Fifty Percent),Zygarde (Ten Percent),Deoxys,Deoxys (Attack),Deoxys (Defense),Deoxys (Speed),Genesect,Genesect (Burn),Genesect (Chill),Genesect (Douse),Genesect (Shock),Giratina (Altered),Giratina (Origin),Regidrago,Regieleki,Tapu Bulu,Tapu Fini,Tapu Koko,Tapu Lele,Thundurus,Thundurus (Therian),Tornadus,Tornadus (Therian),Xerneas,Yveltal,Blacephalon,Naganadel,Poipole,Stakataka,Buzzwole,Celesteela,Guzzlord,Kartana,Nihilego,Pheromosa,Xurkitree,Hoopa (Confined),Hoopa (Unbound),Mega Steelix,Mega Audino,Mega Camerupt,Mega Gallade,Mega Garchomp,Mega Heracross,Mega Lucario,Mega Mawile,Mega Metagross,Mega Sableye,Mega Sharpedo,Mega Tyranitar,Mega Abomasnow,Mega Absol,Mega Aerodactyl,Mega Aggron,Mega Alakazam,Mega Altaria,Mega Ampharos,Mega Banette,Mega Beedrill,Mega Blastoise,Mega Blaziken,Mega Charizard X,Mega Charizard Y,Mega Gardevoir,Mega Gengar,Mega Glalie,Mega Gyarados,Mega Houndoom,Mega Kangaskhan,Mega Lopunny,Mega Manectric,Mega Medicham,Mega Pidgeot,Mega Pinsir,Mega Salamence,Mega Sceptile,Mega Scizor,Mega Slowbro,Mega Swampert,Mega Venusaur,Mega Diancie,Primal Groudon,Primal Kyogre,Mega Mewtwo X,Mega Mewtwo Y,Mega Rayquaza,Mega Latias,Mega Latios
Shadow Infernape,Fire Spin or Rock Smash,Fighting or Fire,Close Combat,Fighting,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5481514,,4.8229647,2.9832516,,,,,,,,,,,,,,,2.8440583,,,,,,,,,,,,,,,,,,,,,,,,3.5988555,,,,2.6240983,,,,1.3208832,2.0486376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.760749,3.5356529,,,3.3708718,,3.0958576,,,,,,,,,,,,,,,,,4.0899673,,3.732845,,,,,,,,,,,,,,,,,2.216806,2.1204565,2.1407125,2.1685534,2.1605737,,,,,,,,,,,,,,,,,,,,3.1857917,,1.8486209,,,,,,,,,,,,,1.9482995,,,,1.5369644,1.1189473,,,2.5987105,,,,,,,,,,,,1.3933328,,,,,,,,,,,1.5559208,,,2.6243877,,,,,,,,
Rapidash (Galarian),Fairy Wind,Fairy,Psychic,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0462148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5152938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.178679,,,,,,,,,,,,,,,,3.8026164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapdos (Galarian),Counter,Fighting,Return,Normal,40,,,3.5444207,,3.5401702,,,,,,,,,,,,,,,,,,,,,,,,,,2.0500588,,,,,,,,5.07874,3.02795,4.003821,6.422398,3.806268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6775274,3.430574,,,,,,,,,,,,,,,2.8557935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2752523,,,,,,,,,,,,,,,,,,,,,1.886097,,1.2300304,,,,,,,,,,,,,,,,,1.8430406,1.9553337,,,,,,,,,,,,,,,,,,
Aerodactyl,Rock Throw,Rock,Iron Head,Steel,40,,,,,,,,,,,,,,,,,,,,,,,3.0199926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2473383,3.161582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7955744,2.3168402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6199155,,,,,,,,,,,1.7770128,,,,,,,,,,,,,,
Shadow Walrein,Frost Breath,Ice,Frustration,Normal,40,2.9591906,3.0605738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5711074,2.7419996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5148678,3.0741796,3.5148678,2.6544077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.114675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3708215,1.7424672,,,,,,,,,,5.112071,,
Archeops,Wing Attack,Flying,Crunch,Dark,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.832798,4.1777124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7538822,,,,,,,,,,,,,,
Shadow Ampharos,Volt Switch,Electric,Thunder,Electric,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5598941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.427727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Typhlosion,Incinerate,Fire,Overheat,Fire,40,,,,2.9818943,,,,,,,,,2.9849563,,2.9750314,,,,2.982365,,,,,,,,3.1240246,,,,,,4.6033754,2.778972,,,,,,,,,,,,,,,2.7595599,,,,,,,2.5885208,4.3399415,,,,,,,,,,,,,,,,2.7002978,,,,2.4277325,,,,1.2093728,1.8365374,,,,,,,,,,,,,,,,,,,,,,,,,3.7408156,,,,,5.4805565,3.257274,,,2.5339663,,2.3579845,,,,,,,,,,,,,,,,,3.089338,,3.5381122,,,,,,,,,,,,,,,,,1.5044781,1.4839294,1.4788806,1.5090623,1.5046687,,,,,,,,,,,,,,,,,,,,2.5160038,,1.4632332,,,,,,2.406805,,,,,,1.4268494,1.4984938,,,,,0.8723913,,,,,,,,,,,,,,,1.2858063,,,,,,,,,,,1.1107217,,,,,,,,,,,
Shadow Victreebel,Acid or Razor Leaf,Grass or Poison,Solar Beam,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1206617,,,,,,,,,,,5.6173053,3.3868575,,,,,,,,,,,,2.7527704,,,,,,,,,,,,,,,,,,,,,,,,,,2.0836763,3.3772445,,,,,,,,,,,,,,,,,,,4.9716334,3.0436552,,,,,,,,,,,,,,,3.915411,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8100443,3.2100298,,,,,,,3.5825355,,,,,,,,,,,,,,,,2.2342105,,,,,,,,,1.2132052,,,,,,,2.9528866,,,,1.9870301,,,,,,,,,,,,,,,,,,,1.2292265,,,,6.7638416,,,,,
Shadow Terrakion,Smack Down,Rock,Rock Slide,Rock,40,3.4017327,3.3993278,4.211265,2.5853915,4.1657243,4.2139015,4.181932,4.1478186,6.6479893,2.5902145,2.5852432,4.209951,4.164558,6.662766,2.5889552,4.169458,4.415309,4.175746,6.621887,4.1573424,2.3863616,2.4938264,1.5210778,4.541228,2.9643881,3.0119543,2.8378303,3.7447708,3.7632372,6.40121,1.8674005,2.2543077,16.099033,9.107996,3.6672115,1.0630456,6.9148088,4.287602,5.834279,3.8000607,6.3220286,10.234182,6.2793207,4.6399927,3.0378501,1.8223252,3.2466407,7.6435657,2.416332,11.691777,6.679435,5.92172,3.7189646,2.9630425,1.7507007,6.1361723,9.515221,5.8556437,6.458638,3.3599877,7.267389,4.1896915,2.1089122,2.2348466,1.875148,6.9913316,4.1774874,7.7458715,4.014736,5.9074273,3.2668753,3.9386587,5.609016,3.7512555,5.9757676,4.986963,5.1887474,8.858288,3.9300416,3.6682496,2.7736292,4.2858944,6.3294125,3.9922843,3.5574284,6.1321936,3.3725107,4.7163014,3.8777049,2.3608463,1.9980936,1.2030828,3.1407402,3.5517962,5.5544124,3.1458392,4.3130064,7.2721972,4.24569,2.855775,4.572956,5.590853,3.2972064,3.002582,1.8299751,5.311872,3.1963966,6.704058,3.741973,8.378197,4.9835796,11.835609,7.125746,3.8922238,2.2183003,4.091553,2.16896,5.5959144,2.689705,6.834044,3.9679813,10.155595,6.0865216,5.6005664,5.2875276,5.1388154,7.1458006,4.296407,2.3142872,3.8785346,10.145275,5.926366,2.6367486,4.235809,7.937944,4.0608907,11.913662,6.6439195,3.4154224,3.2878635,1.9740497,3.8104029,6.3260307,3.640804,3.0709846,6.311668,5.826123,6.311668,5.093491,2.1618981,1.2147837,5.13521,3.701413,3.4559295,3.4391534,3.486471,3.4809952,3.5359638,3.5510678,3.2373152,1.8058372,2.2599113,4.0316243,4.4695663,3.1528885,4.3399825,1.7620778,1.9781544,1.8157996,2.1909487,3.447691,2.1591563,1.7149632,2.759466,2.2106376,7.7590156,3.2872481,3.460692,1.7539723,4.9500127,3.3623786,2.0476923,2.686194,6.5283566,6.998443,8.048352,2.436158,2.2163322,4.599732,3.7519443,2.7236326,5.677508,3.4680834,5.711622,2.082533,1.7866093,2.7293606,1.2520679,1.3742752,1.3607188,5.198309,2.3465595,2.2432601,2.2011602,1.6965821,0.9380153,2.6336486,1.8482256,1.3402104,0.8526783,2.9370573,2.2440903,1.1379873,2.6705945,1.2117072,2.3188028,3.6791327,1.8497038,3.0061288,1.1765555,0.9341358,1.8313246,2.080188,2.6125739,2.7188942,3.7313476,2.6834607,6.953293,7.7139964,7.693817,10.975702,7.4209948,3.3617368,7.711571,7.126606
Shadow Mewtwo,Confusion,Psychic,Frustration,Normal,40,,,,,,,,,,,,,,,,3.2830012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7315474,6.888938,,,,,,,,,,2.609075,3.2026749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3892164,2.6560922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3899448,1.8179927,,,,,,2.9796731,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5195584,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skuntank,Poison Jab,Poison,Flamethrower,Fire,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1746268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Arcanine,Fire Fang or Thunder Fang,Electric or Fire,Fire Blast,Fire,40,,,,2.94052,,,,,,,,,2.9440362,,2.9505484,,,,2.9781635,,,,,,,,3.1995447,,,,,,4.543282,2.8092484,,,,,,,,,,,,,,,2.6517913,,,,,,,2.6347246,4.3888154,,,,,,,,,,,,,,,,2.7205257,,,,2.4036763,3.8918617,,,1.2289517,1.8785619,,,,,,,,,,,,,,,,,,,,,,,,7.0222497,3.585521,,,,,5.49833,3.1992517,,,2.6083984,,2.3411367,,,,,,,,,,,,,,,,,3.0703619,,3.5536187,,,,,,,,,,,,,,,,,1.5049525,1.4680259,1.4679666,1.501863,1.4903194,,,,,,,,,,,,3.646623,,,,,,,,2.5503507,,1.4601785,,,3.0951357,,,,,,,,,1.4578761,1.5188736,2.4193163,,,,0.895226,,,2.718241,,,,,,,,,,,,1.2758205,,,,,,,,,,,1.116132,,,1.8220334,,,,,,,,
Shadow Banette,Shadow Claw,Ghost,Dazzling Gleam,Fairy,40,,,,,,,,,,,,4.701683,,,,,,,,,,,,4.9169707,,,,,,,,,,,,,,4.660306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4784777,,,,,,,,,3.9534092,,,4.9001255,,,,,3.181764,2.3521423,3.6299467,2.5162733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6917677,,,,,,,,,,,,,,,,,,,,,,,,5.3558674,3.8470855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4895629,,,,,,,,,,,,,,,,
Shadow Banette,Shadow Claw,Ghost,Frustration,Normal,40,,,,,,,,,,,,4.6544204,,,,,,,,,,,,4.9780703,,,,,,,,,,,,,,4.82912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3255198,,,,,,,,,4.047002,,,4.8674912,,,,,3.3254285,2.3521423,3.6299467,3.3516114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.769924,,,,,,,,,,,,,,,,,,,,,,,,5.2835407,3.925307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9474872,,,,,,,,,,,,,,,,
Raikou,Thunder Shock or Volt Switch,Electric,Thunder,Electric,40,,,,,,,,,,,3.660348,,,,,,,,,3.6711264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9737706,3.3699603,,,,,,,,7.3776546,,,,3.0824995,4.9781094,,,,,,,,,,,,,,,,,,,,,,,,,2.4586968,3.935811,,,,,,,,,,,,,,,,,,,5.8888817,3.5008574,,,,,,,,,,,,3.4239054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7077608,,,,,2.635219,2.7923791,,2.8140457,,,,,,2.979693,,,,,,,,,,,,,,,,,,1.419906,,,,1.9464405,,,,,,,2.2405562,,,,,,,2.282654,,,,,,1.5653203,,,,,,,,,,6.2562714,,,,,
Shadow Golem,Mud-Slap or Rock Throw,Ground or Rock,Frustration,Normal,40,,,,,,,4.586567,,,,,,,,,,,,,,,4.616279,2.7839396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1811357,2.6367254,4.575507,2.7568915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.156644,8.158731,,,,,,,,,,5.747958,3.4861448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.965022,3.1660752,,,,3.0990522,,,,,,,,,,,,,,,,,2.345183,,,3.4321866,,2.8913872,3.0008862,,,,,,,2.3689337,,,,,,2.3736238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.405535,,,,,,,,1.9506269,,,1.5905449,,,,,,,,,,,,,,
Palkia (Origin),Dragon Tail,Dragon,Aqua Tail,Water,40,,,,,,3.667374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1740665,7.2800627,,,3.1070416,,,,,,,,3.67946,,,,3.2002203,3.059472,2.994156,6.351402,3.8920176,5.669608,3.3442767,,,,,,,,,,,,,,,,,,,,3.603099,,,,,,,3.0406308,3.4961853,5.7435207,3.491635,,,,,,2.8113792,,,,,,,,,5.218447,3.2207856,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9378047,3.326791,,3.4051533,3.0474577,3.4051533,2.5751684,,,,,,,,,,3.3265967,3.0682442,1.7685764,,,,,,,,,,,,,2.7217832,,,,,1.6497748,,,,,,,,,1.1207726,,2.0772617,,,,,2.2800753,,,,,,,,,1.9647316,,,,,1.8236171,,,,,,,,,,,,,2.337627,1.82458,,,,,,4.110023,,,,,7.3741164,6.1402893
Scolipede,Poison Jab,Poison,Sludge Bomb,Poison,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9647613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboliva,Razor Leaf,Grass,Energy Ball,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3229134,,,,,,,,,
Shadow Crawdaunt,Snarl or Waterfall,Dark or Water,Crabhammer,Water,40,,,,,,,,,,2.913138,,,,2.8938792,,,,,,,,,,,,,,,,,,2.5445871,,,2.962036,0.83210695,,,,,,,,,3.539375,1.9941344,,,,5.093874,2.9745557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2254326,,,,,,,,,,2.3581102,4.00685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8232273,,,,,,,,,,,3.6985178,,,,1.0359511,,,,,,,,,,,,1.5638096,,,,,,,,,,,,,,,1.3689417,,,,,,,,,,,,,,3.6567874,,,,,,
Zoroark,Shadow Claw or Snarl,Dark or Ghost,Flamethrower,Fire,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8809695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9385293,,,,,,,,,,,,4.0657134,,6.3148594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1545596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2574775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5676255,,,,,,,,,,,,,,,,,,2.677295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,Counter,Fighting,Grass Knot,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6928797,3.6000683,,6.950686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1244617,3.727274,,,,,,,,,,,,,,,2.4798465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5016818,,,,,,,,,,,,,,,,,,,,1.1555204,1.7410682,,1.4144832,,,,,,,,,,,,,,,1.8576944,,2.007827,,,,,,,,,,,,,,,,,,,
Diancie,Rock Throw,Rock,Moonblast,Fairy,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8171782,,,,,,,,,,,,,,,,,,,,,,,,,
Golisopod,Fury Cutter or Waterfall,Bug or Water,Aqua Jet,Water,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.775888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.982189,,,1.3044559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.854144,,,,,,
Tornadus,Air Slash,Flying,Hurricane,Flying,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2086735,1.9344646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6289201,,,,,0.84336853,,,,,,,,,1.153899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Staraptor,Gust,Flying,Heat Wave,Fire,40,,,,3.628203,,,,,4.147999,,,,3.6149497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6784203,,2.0178056,,,,,,,,,,,,,,,,3.3347945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0915709,2.6117923,,,,,,,,3.4550445,,,,,,4.273737,2.3911018,,,,,,4.1232796,3.5947504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0911527,,,,,1.1185538,,,,,,,2.7243195,,1.5726953,,,,,,,,,,,,,,,1.3755635,,2.1069949,,,,,,,,,2.461838,,1.9769185,,,,,,,,2.205522,,,,,,,,
Moltres,Fire Spin or Wing Attack,Fire or Flying,Return,Normal,40,,,,3.6524353,,,,,4.0027275,,,,3.6434777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0072885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.483944,4.4124694,,,,,,,,,3.20172,,3.3294156,,,,,,,,,,,,,5.0832267,2.9040937,,,4.265986,,4.9973617,3.903921,3.3155825,,,,,,,,,,,,,,,2.3039834,2.2726974,2.3118289,2.335302,2.3365188,,,,,,,,,,,,,,,,,,,2.4569273,3.553054,,2.0984135,,1.2388327,,,,,,,2.393882,,1.7640567,1.9637469,2.1874223,3.1339254,,,,1.3090123,,,,,,,,1.4474338,,1.7904227,,,,,,,,,2.2841015,,1.8747461,,,,,1.68569,,,2.2740107,,,,6.252175,,,,
Articuno,Frost Breath or Ice Shard,Ice,Ice Beam,Ice,40,1.9104834,1.9900932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0894544,,,,,,,,,,,,,1.7748407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3893015,2.1123574,2.3893015,1.8204747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4292256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6414082,,,,,,,,,,,3.4348135,,
Shadow Machamp,Bullet Punch or Counter,Fighting or Steel,Rock Slide,Rock,40,,,,,,,,,,,,,,,3.428007,,,,,,,3.847415,,,,,,,,,,2.8248832,,,,,,,,,,,,4.411039,,,,,2.8316584,,,,,,,,,,,,,,2.5735202,2.6397772,2.3807974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9927397,3.691743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.348822,,1.5903337,,,,,,,,,,,,,5.972983,,,,,,,
Hoopa,Astonish or Confusion,Ghost or Psychic,Shadow Ball,Ghost,40,,,,,,,,,3.6671808,,,2.9777353,,,,3.6583538,3.00914,,,,2.375415,,,3.1388938,1.9141374,,,,,,,,,,2.6115046,0.7686338,4.9116583,3.0485578,,,,,,,,,,,,,,,,,,,,2.796344,,1.6126549,,,,,,,,,,6.1369076,3.654816,,,,,2.0133185,,,,,,,4.1895266,2.5471883,2.5854816,3.878511,2.3241897,3.1800525,,,,,2.1721516,1.5423453,2.437624,2.2496734,,,,,,,,,,,,,,,,,,,,,,,,,,4.9004555,2.943306,,2.5208552,,5.01139,3.0762453,2.5521147,4.273817,,,,,,,,3.6268747,2.7750258,,,,,,,,,,,1.566709,,3.697985,2.5661492,,,,,,,,,,,,,2.6137824,,,,,,,,,1.9940467,,,,,,,,,,,,,,1.7172096,,,,,2.2075477,,,,,,,,,,,,,,,,,,,,,,,2.2488427,,1.2849665,,,,,,,,,,,,4.5798817,4.6983128,,,
