Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
Shadow Samurott,Waterfall,Hydro Cannon,40,1.083215619883781,1.074979890602383,1.0820880136974969,1.0764838775161103,1.1241257635310555,1.00826704945169,1.055152984921093,1.0583416644600965,1.0478463005922223,1.0565433935651831,1.0389757695636048,1.063227164204475,1.0529653349087256,1.0934858771625255,1.051875296424038,1.07724492697167,1.0750159681650577,1.0722351358343924,1.0619858506891473,1.0669554253056637,1.038238606721632,1.0746624800706,1.04574671574047,1.0747571801252598,1.0302520051808532,1.07087433489408,1.0200082259934744,1.087560539334655,0.9909570315018273,1.048341769063006,1.0104449922638081,1.051757295596069,1.0442163784878533,1.0560089020962447,1.0460989970004482,1.0985273191324327,1.04161493929363,1.0605193434821854
Celebi,Confusion or Magical Leaf,Psychic or Leaf Storm,40,1.3637053295742398,,1.367832491386912,,1.2452825678420592,,1.2465583170712224,,1.2905775409665965,,1.2974239708245765,1.3579976086351835,1.3138763689435062,1.3728116753046453,1.3065973953991166,1.3758474037727848,1.3002480745444094,1.3676994430497924,1.307039133386743,1.3838729179665292,1.284984758038259,1.3403396246040529,1.3079254392854485,1.3746963765104134,1.2919133480360288,1.3590813526776133,1.2664764294825246,1.341184785157775,1.237922341622936,1.2970390182940486,1.327060395937098,1.376414560305443,1.3088794214821369,1.364648707191091,1.295916744379638,1.3798639368591585,1.2842964800056378,1.3224274728298764
Shaymin (Sky),Magical Leaf or Hidden Power Grass,Grass Knot,40,1.0957787601312494,1.1067927586122723,1.0996550640488807,1.1095381094352432,1.011623568509927,0.9922685720601351,1.044156372648724,1.0526306615332455,1.0809379625494324,1.098972948684444,1.0811500378600567,1.1179385971689948,1.0835854990978153,1.1257176962856916,1.0451112076695768,1.0915684118003417,1.0734133755303334,1.1005158785331277,1.0426126572404044,1.0911107199608745,1.049943496121927,1.085366037322897,1.0798815193838767,1.1062992995934648,1.041674524911074,1.0978366883786166,1.054852105709337,1.1164637858751552,1.0070673888969275,1.0542424342273342,1.0854847699439558,1.2084477572930064,1.0433545316194544,1.073893215510361,1.0531279464035346,1.1167619947626133,1.0808694628785138,1.0789492996989334
Mega Abomasnow,Razor Leaf,Energy Ball,35,1.6088821074006083,1.5574550415349637,1.6105432035072238,1.5614160506308257,1.5663580336682614,1.379661488658785,1.5348643312031618,1.4873338248082988,1.630217478127422,1.560437124610519,1.527064841142292,1.512954707009519,1.474197993614108,1.5125928055679725,1.4976509374761504,1.499440455417442,1.5335916780614967,1.5114050911570545,1.5164583701167782,1.5265578463060445,1.51125732776204,1.499643424232525,1.5283562054636068,1.549263329257211,1.427146818824814,1.4721001387974315,1.4235222709062814,1.479171169967994,1.3932852451375768,1.435753320449326,1.480167114225857,1.48617829719883,1.5168880651735985,1.5222535676718116,1.4513837502218492,1.5181615919556821,1.4977934953142074,1.4761895745520952
Mega Abomasnow,Razor Leaf,Energy Ball,45,1.4400152482777466,1.4276569785880053,1.4390320539095085,1.426515051569668,1.442058168150798,1.2814500173238523,1.3823885961047089,1.363250306611532,1.4622047658868382,1.432471387354831,1.4005734060143402,1.401573317159105,1.36943300146068,1.4128468810733037,1.3842771413534876,1.3939868342990962,1.4109890377227428,1.3868860444964883,1.369235025237877,1.3980701694568516,1.3729935841282068,1.397340498436798,1.3858693601640868,1.3974651882394233,1.3347107200178043,1.3879912159013734,1.3253578619759703,1.3798943098179972,1.2857167552740623,1.3325373137179337,1.33427689181399,1.3697266285197771,1.359699612161188,1.3671275657420119,1.331174354370817,1.389643402471729,1.3969340293606265,1.3715279663620266
Kyogre,Waterfall,Surf,45,1.1132772570517888,1.1182334748420442,1.1146790827687547,1.119596483396034,1.0637158735566035,1.037096811429598,1.0582114262740412,1.060950082451296,1.085374293382837,1.105365908317381,1.093845036469279,1.1476072830386945,1.09932642128704,1.1481593073187601,1.0920055249387728,1.1402795168752742,1.092533585471554,1.1423376569130725,1.106523119114513,1.1509093808661224,1.0936784728892441,1.1474862275183093,1.1127886311520443,1.161114397228738,1.0908000511495197,1.1400718145834174,1.0835349371271517,1.1458409049763403,1.0374373146252582,1.0845262500901354,1.0777945067356753,1.128712605552185,1.0754468099234644,1.118509091910515,1.1060633052050286,1.173046103313619,1.0801336065920741,1.1276406303344162
Tangrowth,Vine Whip,Power Whip or Solar Beam,35,1.4063056970847811,,1.410965670559623,,1.318050154096846,,1.2997593736230255,,1.3953127529511775,,1.3539200611942142,,1.400784868301136,,1.3389602855642697,,1.34453920467099,,1.3790036585456782,,1.3659352041913633,,1.3977493493111304,,1.3409605176930715,,1.3264020071211244,,1.3184637182442411,,1.3655101424329257,,1.3428061163691454,,1.3971301790915278,,1.337193787023878,
Mega Abomasnow,Razor Leaf,Energy Ball or Weather Ball Ice,30,1.678870819857731,1.6119804388900907,1.681589545352769,1.6135124236072638,1.6597342324770057,1.4770378976078544,1.5778653332771062,1.543560397739527,1.7961240472006754,1.6690362669407046,1.580684030782544,1.591246986648535,1.5681940946718358,1.595812082268181,1.595872997374109,1.590955092207472,1.6141111418718288,1.583960881427308,1.6118629894587062,1.6019306992296705,1.6069193684784202,1.5898799008175455,1.5887829731840273,1.5968643673530434,1.5107678783574525,1.5601961722337956,1.4995775931067663,1.564266571672227,1.4565797593107006,1.5054900292206226,1.5568142046699591,1.5493912350728616,1.5784656160779251,1.5847369508801852,1.4809466278325942,1.558425616276176,1.5927395302864178,1.554440366513975
Swampert,Mud Shot or Water Gun,Hydro Cannon,50,1.1430715841802905,1.1647648920921545,1.1432538038891389,1.1635416602225264,1.1515774339830356,1.087233957076839,1.065759723117417,1.1127516631862182,1.1207961997693596,1.1580420225059427,1.1327723219804673,1.2200179255779453,1.1553831563928048,1.2394648042438856,1.1442250058998038,1.2295238571548521,1.1560727252233856,1.2273830008842685,1.1659470684689306,1.252965026173887,1.1562440577477218,1.2492639056152286,1.1474948985842301,1.238539180000496,1.1524902516403492,1.2322518003513285,1.1765322941409881,1.2554816123638917,1.1437625025727423,1.2213938509189524,1.1304604907415745,1.227634196293687,1.1414715225832657,1.182475162641875,1.1941136097507767,1.2785993170113128,1.1455842828979983,1.2351301653702011
Inteleon,Water Gun,Hydro Cannon,50,1.006211865218384,1.0151964366718105,1.0071845870837033,1.014967526088398,1.0251483070797296,0.9334604567170921,0.924529200285647,0.9373384036087233,0.9941330652897571,1.006796546252162,0.9697458160773889,0.9899723003461491,0.9839579465468333,1.0251062401310063,0.9633679919086656,0.9920120556354176,0.9862173862205663,0.9934198792249946,0.9935944141719256,1.0075800862012114,0.9597695638583208,1.0222993936261675,0.9893790590546653,1.0326637920862103,0.9845091809824771,1.02138747914209,0.9730093634525655,1.0429539457432944,0.9293529487328258,0.9955595541503169,0.9410498301879215,1.0078009750291774,0.985479298405277,0.9919903782824679,0.9798007980099723,1.0413667709683487,0.9627587350713205,0.9871323132665153
Shadow Venusaur,Vine Whip,Frenzy Plant,50,1.0879779971322918,1.064089620126729,1.08751159405757,1.0653144018756322,1.049488091987655,0.979709279222321,1.0010131098401236,1.008102320731924,1.046498173699594,1.051544084941417,1.026299024910372,1.0686590199653851,1.0711101761804709,1.091411201241069,1.0319556010512128,1.060353043036985,1.0633570218043655,1.0622369058215086,1.05292830969022,1.0783057557938314,1.0347471762958917,1.0685580296994783,1.0460139810734657,1.0655487018916763,1.0163841388616273,1.060078058747215,0.9985790075147324,1.065179558512633,0.9906202708697756,1.0210878438103042,1.0513795255958256,1.063494063105581,1.0612584055549823,1.0729444272717938,1.0160301784772396,1.0919806688534215,1.0288098574945523,1.0648079312616423
Samurott,Fury Cutter or Waterfall,Hydro Cannon,40,1.2823191097760422,1.2950127399082427,1.2841919374080826,1.2956949497649586,1.2412921739452902,1.18651144519464,1.1806272817719234,1.2179707428904532,1.2281702779059998,1.2533744609479143,1.224006559834343,1.2684268373717393,1.1787101450360205,1.276432268849542,1.2458294466511672,1.2918713627116798,1.2392884633671333,1.27168092645665,1.252271235204911,1.2865882619168045,1.2164334188746788,1.274847404315856,1.2347002998091712,1.2849503913152294,1.22980861595326,1.2895517330523745,1.2174644066822629,1.2920505164324994,1.1950560559370296,1.2637791782410226,1.206565734815034,1.2699316837631707,1.235918007441749,1.2456322771252315,1.2436725260337762,1.3018718352751752,1.1965276096668263,1.2692306206709323
Latios,Dragon Breath or Zen Headbutt,Solar Beam,50,1.5341148083671399,1.486377234891048,1.5416386421492483,1.4894015171580544,1.3095220652794741,1.2981399490936882,1.3608243828686941,1.4159827761095223,1.2272179043058096,1.2019940811836907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Vileplume,Razor Leaf,Solar Beam,40,,1.4051377143054173,,1.401548425622775,,1.2336047373191406,,1.2406997912607838,,1.3447896683641904,1.3603238193843492,1.2923748686487821,1.344754415324042,1.321497290567166,1.3452194306425485,1.2986960171774145,1.379791485822865,1.3115346304752096,1.3696631610098162,1.320621318624154,1.2966043227904571,1.2636875091757855,1.3676383470135203,1.3339056439132875,1.2486721635244906,1.2645916292818271,1.1794094364542669,1.2266648824171118,1.178732887980291,1.2268466798371973,1.3245010556861627,1.3087995768191225,1.3532184907667908,1.3188163465218437,1.2387190898974023,1.3036326172339672,1.2738273773380384,1.2589904335529656
Mega Gyarados,Waterfall or Bite,Aqua Tail or Hydro Pump,30,1.2134327754814829,1.1876891018310738,1.2172278835543957,1.1907903391078107,1.22288762618872,1.1168265684266707,1.1748015347642042,1.157490928457212,1.1942158715007452,1.1900926466858557,1.145450805105699,1.2119496770305351,1.157059198703449,1.2195138023720835,1.2089919280895356,1.2266278067274738,1.154555981720613,1.1882557300218308,1.1944208028994439,1.2175890343962943,1.1429633981638134,1.1873709769428422,1.1663027719383425,1.2170441776968732,1.1615101813459991,1.203804371907439,1.1399492366812798,1.2044750654893635,1.1000856227755629,1.1573730569527556,1.135560532889759,1.2013472508340026,1.1819109188117396,1.2002941542094887,1.1618692154196923,1.2445870847101548,1.1450192304038949,1.1968402559660525
Shadow Swampert,Mud Shot or Water Gun,Hydro Cannon,35,1.1323858485662248,1.1403300497295463,1.1357611928903497,1.140378482407461,1.1202997008227105,1.0662065181311473,1.0400835790038212,1.054827572169459,1.0761038349470364,1.122898539799771,1.060117269594511,1.1404459953331685,1.1120026220709869,1.1722625272441967,1.0698045822854776,1.1093877923079405,1.0702148044947977,1.121281515069105,1.105443414158099,1.1320353564101355,1.061468039012054,1.1443715799036887,1.1101483412788902,1.1768189412655117,1.0448239539571489,1.1091202949545154,1.0462909801529285,1.1215547500124041,1.0416613779202117,1.08566688108176,1.059237377032726,1.114034882404839,1.0786198096092092,1.1071478005866613,1.0780548087713029,1.1675887351526995,1.0450308574850142,1.1048086690886205
Shadow Victreebel,Razor Leaf,Leaf Blade,45,1.3896681168899707,1.244845973260076,1.3950200258705563,1.2437482007360636,1.211438568675349,1.0848698784203703,1.111804184036935,1.1276621814399184,1.2285929369730528,1.175198484012861,1.1864545215725057,1.1955091404994436,1.2215377693958174,1.2243842237364089,1.2008779581035163,1.1806269866432724,1.215528798714229,1.1852193889290499,1.1907296090859976,1.1792847908409168,1.1836741172691128,1.1807165211813697,1.2335812577554672,1.2072486777656437,1.1413343665966715,1.1671503629907463,1.1248758751591093,1.1966570195698565,1.0746605770870012,1.1323844629761484,1.183021903773633,1.1944717583522926,1.1926496965416742,1.1710812618698263,1.1465392422972844,1.2119542777109902,1.159291247819134,1.1516909047295891
Gyarados,Waterfall,Hydro Pump,45,1.2981857398102674,,1.3026642126421015,,1.1949532328707462,,1.268780993234996,,1.2639894134291376,,1.2972354431944615,1.3223108735628633,1.2696037777169134,1.3422627313337547,1.2511582045203127,1.3152347387790166,1.2991222956900519,1.3092557777258604,1.2566313538356382,1.3252178466723408,1.2627476378616072,1.3253570227061078,1.2638756629961525,1.3069754297778375,1.2346889854308836,1.2986072323215996,1.2531698474772577,1.327992600862532,1.2052638953157704,1.2550398291555818,1.2355593027584157,1.2894935188264147,1.2414876857509582,1.2884113948273233,1.2973087708876612,1.3421866628768968,1.2770011369314642,1.3013782781372802
Feraligatr,Water Gun or Waterfall,Hydro Cannon,50,1.1724001568947837,1.1929580445527281,1.1733567513993797,1.1962388088360807,1.17617684944391,1.1181421268454994,1.1813915358188265,1.200437518449496,1.1631028624792503,1.196376337086443,1.1632163663617259,1.2395291831499566,1.1746334209255005,1.254706097281111,1.1780085290592295,1.2462087929483159,1.1863548173164447,1.226114517668091,1.1936787998284923,1.2468478442711464,1.1613863711345902,1.2536951531807672,1.171370847184507,1.2519278503855278,1.168513091441826,1.2366674967246616,1.1874540031416803,1.2736843631499435,1.1543980642471667,1.2141248449788427,1.1531716189982268,1.2459956429022492,1.1715549868133774,1.2183005149822013,1.217932130468803,1.2937884521485388,1.162453340917606,1.224039348880304
Shadow Tangela,Vine Whip,Power Whip,50,1.2976955754913235,1.264644372382739,1.296001391119061,1.2685473150006592,1.173668208422846,1.1065930436281128,1.1452990409806658,1.14933108951405,1.2305128967211056,1.2319328291092784,1.2063460022870565,1.2237806550562493,1.2482812172413067,1.2798320554064124,1.2321528066777674,1.233170754163931,1.2326170797550213,1.227901040369161,1.2366836690336203,1.2458393716095437,1.2029515827315913,1.2328559486990291,1.2335757711499247,1.2404545765430326,1.1738930488393557,1.2247256248221712,1.160714283338918,1.2308996728092472,1.1332318085029671,1.1869990912429342,1.2055620692786824,1.2360922811965676,1.2265249935849212,1.209999776083505,1.1753842164166652,1.2593288355273655,1.1819125815344136,1.196587297977495
Shadow Feraligatr,Water Gun or Waterfall or Ice Fang,Hydro Cannon,40,1.120446479700862,1.1313561246393724,1.1240171996564212,1.132540345593913,1.0992778516823771,1.0306053204767205,1.0400517868540264,1.0662584944421842,1.0480694368791663,1.0824432668469317,1.0568646464334281,1.1045117211645443,1.0877173721735596,1.1317024466371381,1.0597921219609892,1.1039066719095771,1.0987270906834574,1.1024362035620185,1.0908661304119984,1.1123051870937215,1.0666000321795814,1.1094617179454256,1.0921149962458088,1.122170726629503,1.043975431054842,1.0979774591899403,1.0400423910025935,1.1125765250844248,1.021789635394058,1.0764077974508002,1.0374129243092338,1.0827296288827148,1.0694968081604437,1.0896947709321387,1.0796218077567312,1.1391996623740108,1.0512945040324688,1.0907346037147854
Shadow Exeggutor,Confusion or Bullet Seed or Extrasensory,Seed Bomb or Solar Beam,40,1.323321851406406,1.2481157975197905,1.3231757855509019,1.2441517058304954,1.2676921884151604,1.1376715888462754,1.125835777248266,1.1183992279842834,1.1504649249737584,1.1024859686953017,1.1799229663740882,1.1982821965014216,1.2006584863221288,1.212939943352672,1.2151971605081584,1.2054362161235406,1.1856728943303194,1.1804953309171444,1.180321839669569,1.2180222013110074,1.1869433785635228,1.190215619448819,1.201052000243515,1.2243886380666704,1.1365239942439433,1.1864962770878749,1.0922314244390487,1.163636080665284,1.087534364913477,1.1116104961202329,1.1869887536370052,1.2115365445045532,1.1628171474737201,1.1884252930925365,1.1316997034649,1.1948523326260165,1.1232379946840199,1.143097459139875
Swampert,Mud Shot or Water Gun,Hydro Cannon,45,1.1656008713904453,1.191350347788393,1.1651492064871383,1.1909333450730586,1.1690947932826357,1.1138555641558778,1.1758911284773395,1.2184070627393593,1.1550035999245278,1.1819408213731302,1.193794620781308,1.2914374459142046,1.1795702897553502,1.268101896094359,1.1827732458005862,1.2570702438366357,1.1955580481250752,1.251408208907588,1.2042513663172159,1.269025411180097,1.1817807768714403,1.2643436692632446,1.192993830199329,1.2604886987199673,1.1719191512346887,1.245614444872856,1.1967537521451233,1.2683476700711513,1.151651258864918,1.2285996306711955,1.1620029418385072,1.2415123144485676,1.1789496102952173,1.2392110212213643,1.2049003251243975,1.3314035834243834,1.1810011760299879,1.2486634414063296
Tsareena,Magical Leaf,Grass Knot,50,1.220757089746588,1.2260395082703777,1.2250571963915502,1.226956557310264,1.1122858286527426,1.1017977632053018,1.1447343100807499,1.1530511364670357,1.1967758367525616,1.2016652517483646,1.1692938519903573,1.215760214488812,1.162136959704084,1.211205565976492,1.1654060280930074,1.2240030478623591,1.139219249486502,1.1885576743302533,1.1620470279374653,1.21210972176767,1.1345193188546885,1.189157783422748,1.1585987660398656,1.2145619020633394,1.155345165918158,1.202929491593082,1.129035163062629,1.2011352509493347,1.0933767702974446,1.1547313865970987,,,1.1677188082392007,1.2092417286662274,1.1507393786692297,1.232390727703876,1.1345066306287586,1.1770657835024882
Mega Gyarados,Waterfall,Hydro Pump,35,1.1224015260554634,1.1364837872432685,1.1229320423855869,1.1380209461057897,1.10775354175521,1.0577350999420843,1.109347527882629,1.0895938593060701,1.1215849817188317,1.138211501639663,1.0993720252812462,1.1591648960007417,1.1051609514872722,1.1530685120969126,1.1498505816373021,1.1711453327772299,1.1104503672643986,1.1661089191268104,1.1394331270275233,1.1692727986234792,1.0867921236952776,1.1334888138031984,1.1081333290242183,1.1591998725303698,1.115332695862599,1.151231917422091,1.0838612366419058,1.1512698212322947,1.0630466522354325,1.1038260916903886,1.0908743932504676,1.1507778658053054,1.1116282152285353,1.1292487189788791,1.1247190005766006,1.1978995333569198,1.072041158132954,1.129139727639369
Shadow Poliwrath,Bubble,Dynamic Punch or Hydro Pump,30,,,,,,,,,,,1.5200225615032759,,1.6216095142329434,,1.6116326236897882,,1.549644559677084,,1.6806950491166217,,1.51097591894646,,1.6193062375189116,,1.5240851473227068,,1.376408239135909,,1.440100588853567,,1.3904636412119271,,1.6216965303495647,,1.5514458099163688,,1.4728234123851354,
Feraligatr,Water Gun or Waterfall,Hydro Cannon,30,1.4167371668521547,1.4167665642425775,1.4199984970466297,1.4248039674516122,1.3817720264689557,1.3316177023954907,1.3452742211782054,1.3643774296785054,1.3833324175531003,1.4180073197330132,1.3568202188156755,1.4178059324391148,1.4068173461793316,1.4843015143637142,1.3815715517348177,1.439394141001564,1.405355590502268,1.426919941086203,1.418252363424562,1.4419303329335205,1.400022807413872,1.4460775311218266,1.39026841526539,1.4465809804188308,1.3635281571923774,1.4447542095954198,1.3735691806184207,1.4589662730276935,1.3016526198515903,1.3968619754172378,1.3376255957725232,1.412445244685975,1.3894499813016858,1.407254431165882,1.4046534477414372,1.466128472864988,1.373848731753464,1.4185353645752083
Rillaboom,Razor Leaf,Frenzy Plant,40,1.1647316581744334,1.1764841881603711,1.168552671729807,1.1805964883355426,1.0763615584268271,1.056805874330996,1.1046123977836706,1.1111397646489274,1.1385725725939368,1.1630040376826158,1.1375310993324268,1.1932976109531461,1.161430489943535,1.2151667587628794,1.117191363023685,1.1662058319579869,1.1199025605556898,1.1638365220509723,1.1371873913915627,1.1813532963287352,1.1294042280936414,1.1635043997722507,1.1396977707094933,1.1920331481165536,1.133382117639449,1.1961182399290704,1.1297847341044713,1.189663688025207,1.0849646310603902,1.1373608988051491,,,1.1298656475291846,1.1787794852339941,1.1385681078583545,1.1969287922283598,1.1208030080007718,1.1626184848833363
Shadow Swampert,Mud Shot or Water Gun,Hydro Cannon,40,1.084428490032534,1.1020984317667146,1.084132442706377,1.0987162696908352,1.017852111383098,0.9835249803402456,1.0054942316250328,1.0247993020051784,1.0,1.0436882799126936,1.009532814624799,1.0772178459945605,1.0670358704352474,1.1444378909730548,1.0266530424405045,1.0805151541986184,1.0348842171558095,1.1055738421002057,1.051290509838635,1.1030771482671984,1.0255629936978943,1.0948842049720162,1.0248284684178206,1.0919479478967886,1.0147786968645764,1.0772979300858911,1.0240181982812941,1.0989798251657137,1.0027648563633766,1.0638241624320879,1.0247688613615882,1.0799288925225614,1.0371519674924725,1.0493348264531346,1.0409745065482274,1.1428960825523435,1.0087515265963372,1.0798543043966684
Mega Venusaur,Vine Whip,Frenzy Plant,40,1.168101711709815,1.1374831066912823,1.170199014716714,1.1416514848714125,1.0142983130967234,1.0057990367720122,1.0229538225236492,1.042275300576505,1.1031038365364072,1.1194667479818967,1.092802783873161,1.1348194693410805,1.0915505835329924,1.1307558805463176,1.0998701049025648,1.1443563845512776,1.109632286195908,1.1424537457788388,1.114179975487114,1.1485816629396395,1.0941336189406632,1.1530546224018643,1.1091365510896924,1.14846550165237,1.0926022829751858,1.14421195342592,1.0751425348909691,1.1377089038531145,1.0468014186734056,1.0929676147252072,1.104610546008217,1.1282444885848617,1.0917505817324806,1.1223713940757873,1.1078553660467725,1.162478688770632,1.058446648763852,1.1072038162681548
Crawdaunt,Snarl or Waterfall,Crabhammer,45,1.2876699623555146,1.2566651149512296,1.2912169256144066,1.2593552253310276,1.3967301638258338,1.2069705418166523,1.3488488281815556,1.2363571663123365,1.467107066137573,1.3142660320385338,1.2831290178019532,1.257923665626159,1.1163710343047677,1.1502977052464387,1.3033990364240047,1.2939539972834138,1.3052115814148542,1.2651258129221923,1.1799906529330224,1.175400259983398,1.2671642041702351,1.2583279565261436,1.3136167327940425,1.2784409772771854,1.2428842981481019,1.2508155038104352,1.1944363338832849,1.257309847394785,1.1549356587581403,1.2111928499013165,1.2194641230035603,1.2284279939675302,1.3269668812061226,1.2811763954952122,1.2273823708961615,1.2708128674417876,1.270888997163071,1.2412226770491115
Latios,Dragon Breath or Zen Headbutt,Solar Beam,45,1.5379395863005474,1.5598238094020909,1.5465380591289863,1.5611259624068874,1.4487867032073307,1.4368978234479521,1.3959782053484922,1.4419617861282885,1.2739943881592795,1.267541259494503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Bulu,Bullet Seed,Grass Knot or Solar Beam,50,1.17791866571719,1.1995692443062695,1.1799668208896326,1.2021580185223897,1.0554954967073777,1.067287531952782,1.103424650375882,1.1279780930893148,1.1528486971361132,1.1780708173611043,1.1267564362096674,1.1735889402274693,1.152351575548996,1.2027367450069872,1.1600563628179756,1.183858381460897,1.1376978397776132,1.2014789880059022,1.1423883985756726,1.179800808732674,1.160907117484185,1.2120426666579986,1.1590120502392685,1.2100613823389923,1.1165828837981036,1.1658892879670757,1.131918996311738,1.1844780132257056,1.0950436685706153,1.1590371472955285,1.141370127353124,1.1777905298995783,1.1042462546105567,1.1604128505419167,1.1384301420848237,1.210592882593119,1.127561219341062,1.1717204004666284
Feraligatr,Water Gun or Waterfall,Hydro Cannon,35,1.3744243470626178,1.3730343252658677,1.3734091965112494,1.375323999388652,1.3324488564621606,1.2736874591671536,1.2859599361905976,1.3169992332610496,1.3313203197178005,1.3542521000695011,1.310222022190629,1.3673005972617134,1.3365365797264341,1.403710066663071,1.3313895716551247,1.3749126117846497,1.3432358381663676,1.3791894093249009,1.3650658366656512,1.4073107137497656,1.3106747093950835,1.3562428659113672,1.3454106799407446,1.4099393241554194,1.314059512569684,1.379952524986781,1.2631600930771694,1.3625574698844705,1.2840329521138032,1.3638057771735315,1.2803577237641777,1.3527135588941666,1.335118831454451,1.3565188140044069,1.3108182930994037,1.4147888683701926,1.2587523739937747,1.3249731966219822
Shadow Victreebel,Razor Leaf,Leaf Blade,40,1.45031512515879,1.2722658736436856,1.453870145692003,1.2756056808568197,1.2673840674368662,1.1488638788777343,1.1757505852496264,1.1891784930418678,1.2902434325501748,1.2650845465718525,1.2594862622079368,1.2425646132092965,1.2692218807294224,1.262205947092949,1.2847408208152724,1.2360366593850163,1.2497101176078742,1.2397269281816967,1.2375094641586817,1.2349674702234168,1.239309525860411,1.2258616028790432,1.2706308018035148,1.2422777680488652,1.1969661385368113,1.2162199158919906,1.154335945902121,1.2211585747801204,1.1179422645576627,1.174989744846039,1.2310496255584176,1.2382664942023833,1.2486438252967473,1.2284692064631053,1.1701459166530666,1.2300088175237451,1.2120783537566626,1.201400515422594
Breloom,Bullet Seed or Counter,Grass Knot or Dynamic Punch,50,1.5349085858651494,1.362077347171815,1.3558308764074063,1.1888811950848341,1.2740271648180015,1.1801401577797548,1.0586749338924268,1.059960433025159,1.142419190152078,1.142436389413066,1.080287562584992,1.1149797564593893,1.2768821615681702,1.2942946476137869,1.2874765250514923,1.2958903564858,1.1985995311051791,1.2239622867254998,1.2515643596451966,1.2589004173242442,1.1715660892219528,1.2328625037989782,1.2414945212861506,1.262647114308541,1.1782615881328973,1.2314440240894868,1.062929914242954,1.1082657267254201,1.1191419193923409,1.1790215126626677,1.105469793732479,1.1268116896693707,1.2309526205565124,1.222550527271871,1.2100714682629743,1.2697462475716945,1.065381639033759,1.1075287439181498
Mega Swampert,Water Gun,Hydro Cannon,40,0.926558700713992,0.9539560135431331,0.926645900589178,0.953694505401017,0.9512035441729144,0.8969315331554534,0.8613292568245139,0.9032557207780993,0.9173913250787477,0.9525605215315448,0.9152652908270491,0.9741783788169118,0.9523132911629285,1.016374572283627,0.9182690962081735,0.9708972580709544,0.9136562501996162,0.9635156818729262,0.9296218050162158,0.9907012537101059,0.9469989560597022,0.9940507321396549,0.95020822795418,1.0199572646039534,0.917318031761854,0.9684722717132163,0.9120145396829028,0.9866061564856917,0.9147019128787064,0.9889362766938433,0.9149870550747853,0.9931078899545297,0.9154607133361834,0.9816540840181018,0.9622652817847159,1.0196004371738565,0.9114566635826655,0.9876512515744842
Chesnaught,Vine Whip,Frenzy Plant,40,1.353789489075752,1.3263313672889336,1.3572651562225075,1.3281731294860508,1.231094642039772,1.213226352033035,1.2122481193847117,1.2210347387339402,1.2630298876610118,1.267181153515268,1.2755561178761279,1.3445136334837433,1.3358898909323649,1.3880798774541367,1.284631466058807,1.334632284307684,1.2711135067322707,1.3186653182690076,1.297835037732485,1.3524073728610313,1.305740344364862,1.3447950068557677,1.266000948506328,1.3287718346231865,1.2600129615733295,1.3200639168003547,1.2476690468928184,1.329913418226189,1.2506163454976889,1.2962119968348704,,,1.2567327186010522,1.3271708253793648,1.3168062733087031,1.3955737724242112,1.2642913893147991,1.3193576081036735
Shadow Tangela,Vine Whip,Power Whip,45,,,,,,,,,,,1.28423630856719,1.283962016318457,1.2816563217572328,1.3062580064365623,1.284205731932797,1.2657982828397303,1.272324455174,1.2560051920830155,1.277524603916951,1.2660963088134256,1.244937756346393,1.2829042180713812,1.2748487237629393,1.2699873657754563,1.194822904837744,1.2521858303831863,1.1828011556297042,1.251867043788916,1.1613498886617393,1.2085448378253056,1.2482960866108208,1.260746899259718,1.2636481093083118,1.2406392738722654,1.2005945976189198,1.2810897403437655,1.2494440875740713,1.2607508761104158
Shadow Cacturne,Sucker Punch,Grass Knot,50,,1.2103384723456638,,1.2159524353143785,,1.1354344396724576,,1.1709118200508777,,1.339576078518543,1.1766627518852761,1.18008406477933,1.0512732469362733,1.0656609849797123,1.2489790624642014,1.2315996704368821,1.3117000542774908,1.3024049490416314,1.1002263000780588,1.1093108246520784,1.2691872922073946,1.297720125402854,1.2358568461939117,1.2280619580567795,1.1465270203976525,1.1605750946727484,1.1241446609591077,1.1955301223137655,1.1920521434585012,1.2396759801133583,1.2130798001897856,1.2117528475039134,1.2964124202104457,1.3185917351134782,1.1431472101444524,1.2174850947987568,1.181329209490126,1.1837609327078935
