Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Gigalith,Smack Down or Mud-Slap,Meteor Beam,45,1.1426570763679984,1.1531026855490674,1.1064697665001453,1.1701144166388389,1.1615272537082832,1.1216356533795815,1.1074804981182582,1.0913479800790093,1.099202161691101,1.1301008388474092,1.1431879317692428,1.1103051594900726,1.1507221016739213,1.1250253090741569,1.1446175786640105,1.1929567538917323,1.1475639444702037,1.1401283231950685,1.1513190488331293,1.1389616699580716,1.147264896001855,1.1312417194410478,1.1307407464184662,1.130638942602212,1.1391804017573783,1.1871693029129526,1.0993303717386946,1.1330968035101734,1.1525714455040896,1.1281919479072433,1.169740905070604,1.2079562895559985,1.1305480674046955,1.1312746222105319,1.174025087895544,1.0838446535492312,1.147828551682528,1.1950552557275782,1.0938898967754842,1.134628441134553,1.1609207850819043,1.0829391872986653,1.1240915345637934,1.1735263685034807,1.0684483286778819,1.186355544760485,1.1837727605620663,1.1778946896883205
Golurk,Mud-Slap,Earth Power,40,1.3767321033285356,1.3297347828628405,1.1385174373045732,1.3323350258298723,1.326868539646584,1.1653558089897496,1.4833239093697062,1.3061237007391846,1.333234703177037,1.3374451754227779,1.335221579149796,1.2422042415850532,1.5683574225299568,1.3593604685823646,1.3288734741435215,2.120525087413389,1.4040211730255332,1.701783372659251,1.5608364186437522,1.3810932326159764,1.3936394007981863,1.5333734845777802,1.446903762277756,1.3281361440559571,1.3405210226613185,1.3374670722550197,1.1313439276931736,1.5074519840383367,1.3700169464292316,1.3010686132596423,1.3370212569123645,1.3561208015564414,1.1996843861704816,1.3175259577816048,1.340664258116402,1.134659469286635,1.3310145268445965,1.341516774869916,1.1263617861913398,1.3519333191933205,1.3416490530695429,1.1717225401905298,1.3679641979035253,1.3729134574574393,1.1731831560318895,1.460439798640656,1.359174616134444,1.2661307697639357
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,35,1.2364319243258173,1.1566887970390427,1.051922309601001,1.2828371964008993,1.228953405434353,1.0533684630879818,1.4037683418342686,1.154425423566136,1.2335854948052722,1.236827631615773,1.2216085800012522,1.154319127873376,1.348504445550255,1.2100816318889525,1.2531704327642765,1.501870625795531,1.2017611257489635,1.2718877860817546,1.3529213453264575,1.261670579141258,1.250331834431698,1.292315937726216,1.240365670499668,1.165753806018672,1.1862084235954944,1.195042104394842,0.9911307259791986,1.3200971186754944,1.228464995288343,1.177883564898092,1.1981847107164934,1.2211557441928207,0.9874053644565278,1.161428947948421,1.1793937318713332,1.0440551053156708,1.167280691084515,1.2058113960936558,0.9710166090684139,1.1691217878217366,1.1956290435864532,1.0199644015621712,1.2118658563280928,1.2936081623568563,1.029899318151223,1.2325190842699851,1.1795990737527446,1.0829333049962735
Golem,Rock Throw or Mud-Slap,Earthquake,50,1.2826602447076445,1.259445083101144,1.127213199607939,1.297592231956407,1.2934928361922908,1.1209666312214446,1.4122505644002572,1.232141341368087,1.255132506986497,1.2449800870037655,1.2509698839555465,1.0955410642250751,1.2819549674248814,1.223617604013934,1.0943737968998677,1.3417719927990395,1.2682273523625274,1.1477372692684322,1.291378419925067,1.2568497235522584,1.120188082243024,1.2928966090774956,1.2845523380449075,1.1118005783506986,1.2571977654064692,1.2976662945668394,1.0762366881619438,1.2695960978764531,1.2997592603008068,1.1026398080411604,1.3041209088116021,1.2973779087735369,1.1269350385064565,1.2651991175963844,1.3239596318566935,1.0821255902551146,1.279029412522576,1.334272396958614,1.0939161988461297,1.323049285588133,1.314148638832679,1.1130724146091993,1.2634079886530123,1.3375929298659421,1.0641981368574671,1.3888771414293257,1.3247242266470078,1.1863026066317068
Ursaluna,Rock Smash or Tackle,High Horsepower,30,1.5109686817250338,1.4681068069320562,1.3486564630316606,1.647794698682269,1.5720117330867043,1.462495950857841,1.535836669509656,1.4775095939415543,1.4084603879201374,1.5539577711178312,1.5360137710278094,1.3953912298565392,1.5928531049431276,1.5400074779940023,1.456196055841353,2.057647966148498,2.022580362564307,2.641650288374003,1.6160162446390922,1.6136599215827663,1.475507792276662,1.458370073472373,1.4754894608065046,1.3472592540897057,1.5325505057793711,1.6147743653611604,1.3753149950387455,1.7060492897848027,1.6914327248624013,1.6033925655219496,1.9907723919181168,2.1174967568031047,1.7163468288748653,1.5995905451370551,1.6656218346755522,1.4154709007700554,1.9890904355769177,2.1118559832512918,1.7111855701945722,1.6163310870366927,1.6832855493708923,1.4635855087251797,1.5929706990596384,1.7139685594995189,1.3989373675215335,1.6292283249230801,1.5840838816729328,1.5040730447160469
Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,45,1.134893331153335,1.1178503747366424,1.007151213668929,1.2455218988380021,1.2096653504229575,1.1074180188172582,1.1596634668585857,1.121920372392987,1.0382981348328264,1.2028288197881776,1.1881579778794498,1.0657267082286566,1.193315295205461,1.1517009448518718,1.0622754716894809,1.4811863410003894,1.4638561235751764,1.4805984318316332,1.2114181461001512,1.2208623889180756,1.088424261408615,1.1062158513623628,1.0999732108593334,1.0019415563093255,1.1802282423355994,1.262348488474274,1.0633529821070107,1.2049254974210672,1.1830076984631699,1.1275220741589322,1.4764270572869729,1.5515295305832186,1.2488011929463867,1.1533534279797573,1.2229926498985466,1.0315145843026696,1.4378204140750455,1.525404058879281,1.2465541474399,1.147078381257877,1.1970642821909814,1.037151109513308,1.2096352728802244,1.3178738674286057,1.040913117078286,1.2454051195435403,1.210744602965227,1.168917576019451
Omastar,Rock Throw,Rock Slide,30,1.5629132290040317,1.5141881892091775,1.5628808255303794,1.6046923498335717,1.5416904389462458,1.6032892403232235,1.4373883229729438,1.4293490405315772,1.4954504383027745,1.4479550191051083,1.4619415221821515,1.4600973447318633,1.6292308987276158,1.505731486981227,1.638881656613298,1.578696999721348,1.5165686063919521,1.5818752913622538,1.510429036639458,1.5048597122663043,1.5306087901766496,1.5188544140212141,1.512192785598876,1.5375373622969988,1.5222882779591065,1.5402346341256214,1.5253778674741234,1.482046005506115,1.5194049632712292,1.48839634937579,1.579449497368606,1.5816670236809307,1.558645013826992,1.4614349414816654,1.5269069608908281,1.4668914785301854,1.5470738707297393,1.5863726805933926,1.5526470966508548,1.5490521960286217,1.5523984382656046,1.5537446057079245,1.5071766525424557,1.591465254636035,1.509433450137478,1.5956309550921228,1.5645339052758822,1.6028919786596407
Seismitoad,Mud Shot,Earth Power,30,1.8474907427723313,1.761857341695265,1.5269546071809488,1.74126654858432,1.733232800475202,1.4851769176968095,1.6592082289092198,1.6156947679024767,1.3888659994503334,1.7181144933085233,1.708564795646176,1.4332123328717792,1.8283848461985595,1.69540194871351,1.5495452583201554,1.7807021501953013,1.693927196797551,1.532229677101808,1.7699254732114262,1.7668421003180674,1.4864953936523797,1.808227442260424,1.7963075027464586,1.5074160522936222,1.7177487518396395,1.761386163707986,1.4436991485939292,1.7252129523596906,1.730679222262323,1.488963100340669,1.7921771327600327,1.7822074465688889,1.4863820648679038,1.7470722710387105,1.8148382419843414,1.4743614671233616,1.7708240385285108,1.8221611795390031,1.4832896615815248,1.810518913905065,1.8099717390823677,1.5377217600330624,1.7330091731419897,1.803240159063921,1.4660211319835406,1.8483352136559015,1.76127212321682,1.5771597235502317
Donphan,Mud-Slap,Earthquake,30,1.5986378680971072,1.5477592892075678,1.3012365843265459,1.6290684741678196,1.5736214834979665,1.4075702992633448,1.751314218072193,1.5362562809010154,1.6099344930043729,1.5996270442812062,1.5716058533792943,1.4318654681840726,1.8093986405251532,1.5336794274820154,1.5423241715535296,1.9233770533301173,1.549107289306991,1.5985062393785143,1.745074398593388,1.5954786593236039,1.6325137706312634,1.62829080624303,1.5763016638487108,1.497110067457309,1.527402352398375,1.5322087986168111,1.279876153944247,1.6868739757306879,1.5530856497361083,1.4495897312780506,1.5583108545110904,1.5428469494291486,1.3435502208279433,1.5462346558217654,1.5399068982536281,1.3203073328325654,1.5260791922434378,1.547778400525794,1.2694172575115057,1.5129033076984182,1.5142422413503658,1.303135397720619,1.5344380798749113,1.57078581632259,1.3058092883413808,1.6083727898853157,1.5297311864451666,1.4473033883862034
Nihilego,Acid or Poison Jab,Rock Slide,35,1.411978018161194,1.4297460923105074,1.41189783544796,1.3978223501875109,1.4408920462152353,1.3899729775063903,1.2916059329599485,1.3425726184366806,1.423096197342211,1.3485739478629488,1.3973333348721677,1.3480963706497757,1.3400174965825455,1.3767594795992173,1.3604308142465449,1.5712417709998578,1.5665362980965316,1.5565082204847287,1.3792024730682617,1.4156095872162806,1.4000552115164822,1.3429718905434502,1.3907898714180533,1.355996680958443,1.3743409307806371,1.4478527872926295,1.3725965723100615,1.403110312033806,1.4841352164233497,1.419728860009203,1.5643977788697763,1.6912621401913754,1.5688266453547328,1.4110109245405598,1.5052543912186402,1.4094093265901309,1.5897179664127903,1.6985955988281034,1.581451099021473,1.3938448087181097,1.4654952293834926,1.4042495925192233,1.428095903874032,1.4962644721258853,1.4309810076718166,1.4472402205232444,1.4889420599785717,1.4415848775062399
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,50,1.0863371282813283,1.0531920174783913,0.8789452817577339,1.1073534826085016,1.0728051148840696,0.9278095179654956,1.0642133431005294,1.000633458112932,0.9255798555427172,1.0716926724848066,1.0650290392451787,0.9142208194465562,1.0968337665462522,1.0598214777156667,0.9329640647794653,1.1150705095082918,1.0599810637316163,1.1286222086254916,1.1282206651594309,1.1066256686254785,0.9953210349826348,1.0762866304232657,1.0770671828114504,0.9504680392339373,1.0301491258086082,1.0661874537274738,0.8873188204458416,1.1104256716897967,1.101424256682375,0.9614856758008988,1.0935663759209748,1.131486334515655,0.9267408454508745,1.0899633952947372,1.1214200541908983,0.9124212006065233,1.0331495967259632,1.0824318427551383,0.8732373955695273,1.0311798748854535,1.058945523553085,0.9001586793337161,1.0414159953725959,1.0970039158364449,0.8715438694585949,1.1103862580610604,1.1118457100789545,0.9298536092231997
Groudon,Mud Shot or Dragon Tail,Earthquake,40,1.2527766600108945,1.199385647082544,1.0044990846548163,1.23968300699107,1.2114488484662889,1.0242340196420905,1.1774354181808682,1.1364262573717596,1.0283808893638322,1.2052666217904124,1.1739712917003646,1.049960831859178,1.1815507365179838,1.1625496850330364,1.0653307210307215,1.2562679412847477,1.1876789572257271,1.073577068136253,1.2223292284863398,1.2202097082134258,1.0874294349204003,1.2373207878056982,1.2170927421755677,1.0584176045053864,1.1601381861318072,1.199445675727214,1.0080784987926372,1.2439101961519337,1.228408981880799,1.0506312872137098,1.2227562515683588,1.2552011532171439,1.0488944290643554,1.2169933504730592,1.260631313782817,1.0076711788844959,1.1840138715151445,1.2235022813318988,1.0099049237813815,1.1794684283266497,1.2129342628617474,1.0168196545087125,1.193082503230578,1.2845265436930309,1.0189598521645908,1.2635988956420376,1.2502802589273965,1.0700091691821472
Shadow Swampert,Mud Shot or Water Gun,Earthquake,50,1.2429515032246752,1.1711771737224348,1.031395153795781,1.201150033316457,1.1810203145750653,1.0347549124461974,1.1590811222623525,1.11316986939448,1.016250952862984,1.1295586305952374,1.118832128666549,1.0230352524808652,1.2321399401676447,1.1683418857812744,1.037124752855753,1.1897584777381955,1.1341908490790973,1.0346349200324125,1.250196632304518,1.2219096878455198,1.068375251035634,1.1587122342355054,1.1536821771245807,1.0370230497560646,1.1169173388500837,1.1704020200063272,0.9976444384627845,1.163269819345972,1.1927626477166624,0.9928674247224538,1.2051858904801518,1.2259650690461563,1.0481555841291503,1.1635665536066853,1.23370252377833,0.98102771598903,1.1388752565084825,1.1988711657629068,1.0024737449073846,1.1652393715828873,1.1702318334273725,1.0143005211331773,1.1525150986106694,1.2182964175760786,0.9906261924044116,1.2463502515440932,1.220471902111405,1.0569480652799002
Mamoswine,Mud-Slap,High Horsepower,30,1.3291175072791335,1.2693874853972582,1.133183910256356,1.5666433977246321,1.3217102114556292,1.3472634243008546,1.5684353851099861,1.30756894634553,1.3281004159548093,1.5547531368415097,1.3476493777675573,1.2728907703702461,1.5606742482078702,1.2910951321004118,1.2705114143982803,1.5400662455171532,1.320283425637063,1.307193129953001,1.5909918278356177,1.3561246324739584,1.3314485721524703,1.4056072390135936,1.3167884063578092,1.2219044546622801,1.290133043546081,1.2721623671294107,1.0753610061988035,1.4405913370245027,1.3871123419804092,1.1940439652026416,1.3579451739035953,1.3220904160142302,1.177963922864399,1.3750521139198344,1.3436511892814145,1.1491364386161864,1.295849150676602,1.2897981272475612,1.0934133651426168,1.3355446075095478,1.2797437764152775,1.1403617386537999,1.3178832721407996,1.3232598389598986,1.1366532300710221,1.4073159539593962,1.3129015916273412,1.2238634765325125
Rhydon,Mud-Slap,Earthquake,35,1.4141899682234171,1.3725113920447567,1.2011603408591285,1.4173861989077128,1.3953107278991859,1.2083760689350582,1.5785381245891534,1.3895159274742013,1.3230038740987584,1.3742140620406038,1.3564579536139572,1.1625330981609872,1.3946362643120274,1.3670538669067394,1.1670932036388297,1.4421498634831547,1.3826358591788175,1.2135894434514334,1.4086501015130695,1.3716854577451947,1.214727652115531,1.4120341766082778,1.4068953706620202,1.2038552817251222,1.3358233904426342,1.3818782963594407,1.1100181274579035,1.365046454159988,1.3723593109056262,1.1662978230289904,1.4141102354574095,1.4098710269625592,1.1676129592341156,1.338935458213854,1.394868748047118,1.1337766505058737,1.3515711000386739,1.403956287140071,1.13695054974422,1.386367526232044,1.4072334628045324,1.1652744349932016,1.3444205128249085,1.4028086089640193,1.1457606105034397,1.4718260594455517,1.4218631131532669,1.2199949668514856
Swampert,Mud Shot or Water Gun,Earthquake,40,1.50663652790638,1.449756656266493,1.287046489030683,1.4663041161597898,1.4429045949011203,1.2855032824019859,1.4109127008657452,1.3699948890851978,1.2327909635845902,1.4255581712532102,1.4394309352428727,1.2905830556458817,1.5154518054304205,1.4478110667868709,1.2811557212186282,1.495486076764912,1.4311446186169434,1.3219915358676124,1.530681566822258,1.5072144428358558,1.3185931430385953,1.510768802601638,1.5081998231052822,1.3092830428127393,1.4422166840372905,1.5040638449700605,1.2515564768902483,1.53197863550246,1.5505751155762009,1.271591133195539,1.5911628558824735,1.5897157518386307,1.31949885457265,1.4842705667401346,1.552627093465543,1.2327238216454988,1.4920046487433012,1.5650304490773346,1.2888185649972832,1.5373752205282414,1.5302558059356934,1.3301072539084988,1.4828052575531625,1.6238758214182774,1.2993856080094053,1.5133094806551848,1.487164397614199,1.3360560730203792
Garchomp,Mud Shot or Dragon Tail,Earth Power,35,1.244849287843657,1.2109435213807862,1.0498121869252621,1.194763545486582,1.2020861930600204,1.0116942784178609,1.1319195742357646,1.111363290543165,0.9694883322913314,1.1875933218824826,1.1983247865516657,0.9996808265386586,1.2159261197721793,1.109044679963752,1.0930044808674138,1.2385285441056308,1.1819286965158196,1.0216688676863126,1.1606844635557012,1.1476595142246493,1.052478649927932,1.221242645161274,1.223617418209484,0.9974779417301042,1.1958607178967688,1.2537622165090538,0.9842625496735374,1.196146266053329,1.2297679615104171,1.0335395021826386,1.2064957570625778,1.263103159936197,1.0076261954176093,1.1943258341019654,1.2593947150875617,1.0224825043360857,1.2275342340437574,1.2872220715049498,1.016971108680381,1.2242270285527261,1.2646283619723189,0.9974223957603983,1.2099532711993761,1.2963936238241789,1.0053489717268638,1.2246905043133687,1.2445288071103988,1.033548070266523
Arcanine (Hisuian),Snarl,Rock Slide,35,1.506535124094715,1.5072819288580679,1.5066042091476914,1.3743163586112657,1.3585476910079424,1.3713607733726874,1.8947816900199375,1.5618666865994821,1.904111741661627,1.4412032683685594,1.4833544778778627,1.4529479976929027,1.5213247244432972,1.5456946376228438,1.5308896287207256,1.3595463942974506,1.3516175074888503,1.3867312388474793,1.4976401734727693,1.5325326734492801,1.502209177278335,1.570123645901257,1.6416274449537365,1.5772599917862444,1.5028923431088044,1.5611726869763394,1.5029876356613,1.5063590465177399,1.5634082849497266,1.5067566352656905,1.3196897411688975,1.4012780478388192,1.3158020433573814,1.4672213864554782,1.5290790647860746,1.4713811094046512,1.3628531833607083,1.4125359663234478,1.3710456032333487,1.502897747233894,1.5574670050442723,1.5000480432870016,1.4887726069638392,1.5701490815929497,1.4917889481631788,1.4847361629275146,1.5504301439189387,1.5112829196126607
Shadow Hippowdon,Thunder Fang or Bite,Weather Ball Rock or Earth Power,30,1.4908676421877132,1.4784706238155791,1.2734347851501446,1.455677907187891,1.431890206885196,1.3278189339041502,1.5326904359664062,1.3527283936502685,1.402339959319757,1.4839820914315687,1.5088866235966192,1.4122532948124646,1.7771593734750073,1.5490315839038349,1.5424249176582665,1.7109567038676063,1.3991304977362826,1.4549118601295272,1.8035179466093327,1.6195703566230808,1.628365024085566,1.5719819466769902,1.543607224276602,1.394455486366038,1.4614066309575033,1.4882261615622974,1.2477736378797655,1.6102009132170496,1.5118325086915,1.4967317600767673,1.4345121241656094,1.4642640073709472,1.3174641103669398,1.4590955853887875,1.4983689780518394,1.2876847521449948,1.3794655430497103,1.4368475187667382,1.2301582523857806,1.4815048358571072,1.504994591035614,1.3414511884298663,1.4340056583510439,1.540658046997942,1.2630015622298378,1.6258932228100524,1.5103090071646312,1.4776652692591297
Shadow Mamoswine,Mud-Slap,High Horsepower,45,1.0052599521021597,0.9518810534136319,0.841015512157021,1.1542102326150419,0.9832247695162882,0.9800431151887652,1.1605403476339489,0.9679075266488185,0.9749419260892433,1.1424970721273737,0.9898451365287418,0.9398300607618326,1.137174785108045,0.9540450704832912,0.9339312367219272,1.1397466064349377,0.9746878551100209,0.9390167569509968,1.1569049350687404,0.9885837011845076,0.9899894688849582,1.0590951673423519,0.9871612852791087,0.910123661146421,0.9691579917940416,0.9607688821083828,0.8182222365186544,1.0711382646516991,1.0286058199570276,0.890515221219156,1.0090853484234332,0.9918759388868027,0.868963680203909,1.0241753232694035,0.9916776874859738,0.8582243714590913,0.9485596479764622,0.9610696441698352,0.8142522734834732,0.9981121854427203,0.9606981344737062,0.8440642518909538,0.972369431761575,0.9759531271048997,0.8479121848451183,1.062941407065042,0.9932690138548178,0.9206109101815022
Nihilego,Acid or Poison Jab,Rock Slide,50,1.2413505598388384,1.255450518413221,1.2417068286190869,1.23603925994377,1.2742712890621994,1.2396790155564001,1.1650351916562471,1.1956650320680524,1.1583463108513516,1.234867118295287,1.2940860579596152,1.2443007109125757,1.2169278852566292,1.2291128418464023,1.2116664922984084,1.3061754909182957,1.3689986917057106,1.334881483670328,1.223008981466161,1.2633590132442347,1.221906582496309,1.2334425028222609,1.281629840138365,1.221313619868446,1.2326920695197563,1.3095881117844965,1.2381430941418377,1.2695146382136586,1.325846749676024,1.2504295583931142,1.4599603293854266,1.511624834208223,1.4478524158642971,1.274924259565526,1.3770814801239577,1.27094190434288,1.402938242288036,1.506064160399085,1.405845675990221,1.258966324112571,1.3220162730256324,1.2514461984793754,1.312173064228089,1.3682365774161862,1.3079179676716945,1.2752760924729794,1.335756637069431,1.289165566249488
Terrakion,Smack Down or Double Kick,Rock Slide,50,1.0712641759902544,1.079089720771008,1.0722510206035263,1.1054529826308153,1.1085844314427333,1.1075340589601266,1.035367976036236,1.031147615967286,1.0393448260692217,1.0431044019219655,1.0720774002857039,1.0522025479055936,1.0517879329042148,1.044939858823802,1.0631680410947002,1.1138099141030455,1.0630807370539634,1.1085622198947458,1.0672318455313308,1.0791836180248482,1.0823188263627268,1.0142735387235207,1.0260633861727888,1.0236636279949654,1.063967198437349,1.1118981286821756,1.0645683674888304,1.050043750585271,1.0896924254021234,1.0563146630126092,1.0750876222500831,1.1225012360424413,1.0941025223973821,1.0661333344667998,1.1209972613276378,1.062508465989269,1.0705308027909564,1.126570289878637,1.0691685524454286,1.0638208116421988,1.121017081845288,1.0705089831392631,1.0863937100141994,1.1308094990545525,1.0799609106828054,1.0884491299476868,1.1164123469252996,1.14076060549051
Golem (Alola),Rock Throw,Stone Edge,35,1.5595131092170729,1.5036825171187764,1.5599705700215771,1.5003738964404483,1.4789664857985718,1.5168649175398452,1.833483608528653,1.4698473282942979,1.8530337423040846,1.4814977781637686,1.4691768515854946,1.4998651692655172,1.5132037387355655,1.4458500658000915,1.5162440488953806,1.53645709281147,1.4855580474050236,1.5520462695513577,1.4811147789620394,1.4547116667332858,1.4891249874392607,1.473215644621002,1.4636810650745746,1.4949785394675694,1.4128134098249558,1.4655786551534908,1.4162068648051214,1.4369263714258549,1.4589662951475042,1.4461126997239748,1.5172959292743606,1.5455954491393915,1.5455699286188453,1.4281823643365068,1.4845555149286922,1.4324666862189628,1.4917521769956632,1.5336726141040087,1.503113827597719,1.4376394040121057,1.4896874811477867,1.4769566925254198,1.4459161668240708,1.5047311654686015,1.4459097382866215,1.5252002791077095,1.5047100917192597,1.5347808874446505
Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,50,1.0998741982787614,1.0836527652234909,0.9759159593673149,1.1984322510229615,1.1690604374381568,1.0656390950542374,1.1398591634761859,1.091722550414201,1.0104023870099672,1.1715071756322517,1.1589284173734002,1.0403482920526614,1.1626557999060978,1.1206391187227485,1.0229322037071298,1.4485626924844783,1.415968266604962,1.3081300768046296,1.1918588254104197,1.1817475695068722,1.0600102365049884,1.062899174499787,1.077078193207551,0.9713102108804226,1.1601153954571333,1.2266412218726175,1.024888992206614,1.1734596852345693,1.1654714310763938,1.0779189077184146,1.4034582633225414,1.5000792774278453,1.2515070147590948,1.132117637867822,1.1884798327161707,1.0127386634658102,1.3694372808418644,1.4849566783798553,1.1843510162388702,1.1227798064237695,1.1633700646100318,1.001135077250057,1.141215729764476,1.2017615049749022,1.027682663201161,1.2083842185562725,1.1977114444301153,1.1228282244509853
Shadow Flygon,Mud Shot or Dragon Tail,Earth Power,40,1.4071104657713427,1.2870980804436354,1.1867954785929524,1.3236409116859973,1.2600465372428749,1.1138519710570012,1.230426504726231,1.1782182413481528,1.0476154299387246,1.261532500035345,1.2690814053904016,1.0883190072672408,1.2836048132735374,1.1743339447660182,1.1756249701508152,1.3477131747333921,1.2544165458692955,1.2530643233589667,1.2734423210048846,1.2303203271222634,1.1570217439736716,1.3518102742748954,1.295987735435088,1.1234779503690302,1.256661129144551,1.267273124990163,1.0497925612675665,1.2586708941877387,1.2497791613150175,1.113195760530168,1.2562012817250354,1.2870464088510682,1.0682316120015247,1.2509456124914855,1.2822755801544132,1.0673169666711777,1.2816026692747817,1.305240537077593,1.056424917912222,1.268905374651652,1.2919375448187909,1.0427117105239092,1.2459002240511965,1.312084159936107,1.0640449233815954,1.316318650911007,1.2845712822789865,1.166869839725416
Rhydon,Mud-Slap,Earthquake,50,1.2408296475264502,1.2402162688310776,1.0358531940506375,1.2382802821973165,1.2294118914360548,1.0442299050981105,1.3859808380231444,1.2281741024237114,1.1931113658243757,1.2070156992833168,1.227656775713271,1.0254725928328217,1.1963937936477946,1.179028209049381,1.03818403418869,1.2504614976997073,1.207222993602065,1.0448630941480446,1.2102227459026509,1.2132502225102146,1.049676749072018,1.2518349460316964,1.2392732698157698,1.049277281834718,1.1907112643766138,1.2405366503340125,0.9938254555836747,1.2030521984830924,1.235184317051422,1.036169356120558,1.2765950659436025,1.2589777160591196,1.0636305466663627,1.2077421556297514,1.2586686705298762,1.005308346197683,1.2225767860118668,1.2742007180493418,1.0099943789521324,1.2688994511327434,1.268002461126566,1.0636643160942554,1.214417866648419,1.3080597526365456,1.0200330845870291,1.2929899359696182,1.2607113965919414,1.1027405010505906
Mamoswine,Mud-Slap,High Horsepower,45,1.1294652198480384,1.0984324766673812,0.94859241851903,1.3333379339026115,1.1682199759475185,1.1241995971247822,1.2926517941477822,1.093195755551048,1.110838306671227,1.3718026895168165,1.173017579931139,1.1398993660099017,1.2774175645464838,1.1339292012584579,1.0633098232634146,1.3572612469757714,1.1423802258400753,1.1417431095222934,1.411408049733999,1.176130072408781,1.1445687362677874,1.2658054447763842,1.160557237840563,1.0377276304111545,1.1398087972524298,1.1445749697484386,0.9609823343668217,1.2596654414393058,1.1780783316002357,1.0711382646516991,1.2061817080893023,1.1625648105905333,1.0083497797712715,1.1863141375191986,1.1670510897142963,1.0223918270216883,1.1029567972033276,1.1373850824557257,0.9397155978199043,1.1404285352011254,1.1466119655627902,0.9927211281000545,1.1824717736015777,1.1707043834196877,0.9707707497355609,1.2583480297531966,1.1792861423069954,1.060811057465815
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,30,1.3637213674011737,1.2670258016365237,1.09799538981167,1.3397188914314382,1.2737133538207746,1.2147042722008405,1.477428423929566,1.1922819725640992,1.3376356643383223,1.367797353993722,1.305251820128356,1.245842622842975,1.5936426406814546,1.2531741675596328,1.3793984393130534,1.582357559129334,1.2355538682537972,1.3778464261846888,1.5364930288095189,1.318676191223901,1.3369833395626107,1.3637137828900645,1.274107537522371,1.2385859670130226,1.2297936769399227,1.2268130543822053,1.073437366186045,1.4380790335658977,1.269128816021273,1.208360526111756,1.2311190933628153,1.2710905655593074,1.0790841271458198,1.2630035206324004,1.2847426324434932,1.0926606994272074,1.2273768435782384,1.244755760941127,1.0639390537983398,1.213466014697424,1.2403030357624947,1.0720035524735059,1.2432941425881034,1.3171735139876166,1.0831737270341095,1.3471737660226566,1.2875304491169441,1.1532881079668214
Shadow Sudowoodo,Rock Throw,Meteor Beam,35,1.3983261593878158,1.3488487659994801,1.39880035139767,1.635333343464204,1.3862249241723592,1.658541131590003,1.5666348350324355,1.337236017799212,1.7940018681335055,1.3717309028985,1.3459460036522306,1.39135207845054,1.562125869792989,1.3645400228373399,1.7028720996454605,1.4569155903205075,1.352284977641855,1.6184262736764627,1.4245242485572467,1.3898839984858635,1.5710680665474743,1.4368989541224741,1.3852421562996868,1.4667019789831863,1.3637536528748058,1.3437377810818647,1.3765829060425987,1.4049743473265681,1.3357131215938303,1.4880761494651755,1.3471616762481422,1.3448794864547036,1.3706361580339268,1.3192129116851394,1.3443597211237648,1.369470121248288,1.3375868798182722,1.3355752636986529,1.346178458227192,1.3544822885419763,1.3554907062172108,1.3674246860057275,1.334755563911067,1.3657071860239216,1.3613137568653804,1.4207795964104426,1.3792275793156323,1.4475099216491834
Shadow Omastar,Rock Throw,Rock Slide,50,1.107605370589845,1.082209645815208,1.1056887792489003,1.1298695502970784,1.1189043579156979,1.1320431990569828,1.0463552851616544,1.036606321116868,1.0437090903467232,1.0523467559113595,1.0702971613989964,1.0649246485759387,1.1152673158768065,1.098797708684375,1.1248368886484303,1.0930385269981338,1.066604295714981,1.1101196921480094,1.0981719525814768,1.103896464790834,1.106033104296577,1.0784311168022624,1.0833734295258,1.0819372503974964,1.109371575901887,1.1257988341789822,1.1095701147993815,1.0687847233859717,1.1041450928500627,1.069082771101512,1.1252580557872545,1.116248600736155,1.115407113301929,1.0846185244593325,1.1311334990500794,1.0861535971562117,1.0951994163922156,1.1409796050087244,1.106520094838234,1.1110199016586673,1.1161898233945147,1.115358619934743,1.1026753620492769,1.1480724078077493,1.1007932291405509,1.1542721308518404,1.1333406184151678,1.158193354979411
