Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Regice, Tier 5","Regice, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Diancie, Mega Tier","Mega Diancie, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Sandslash (Alola),Shadow Claw,Gyro Ball,40,2.69829129674352,2.6607169038901737,2.689090616090218,2.669376794589929,2.6881090953663342,2.6739956010154193,2.6929967449085956,2.6224916200879225,2.9810985091530444,2.680412972814511,2.5790004225317804,2.5427043926513795,3.0084693003258183,2.7026259932085477,3.094994890674809,2.7537488332660804,3.1470260757714477,2.7076129011812764,3.048876743211407,2.7106142788256453,2.6109503943464922,2.5750339129779323,2.5344236737497874,2.5222058942492613,3.1687371662723858,3.1867199859925393,3.064330170423628,3.028161031142165,2.2146844656713824,2.1795217175108803,2.471942829442246,2.5031144518642185,3.2641439201672573,3.373920706728899,2.646694744349282,2.595911765958539,2.720995789667526,2.687315457481721,2.5057839824468897,2.5119969821400145,2.1602436246473866,2.163965918483167,2.5300526953714453,2.52641362449842,2.5304593370749355,2.585216431400809,2.6504429546983435,2.6039143053581277,2.267671611497143,2.146761518963484,2.2777587246156528,2.231940510967749,2.209751330348102,2.2127124370282836,2.550998655779212,2.567366914746748,2.5353761802078996,2.526793390900316,2.5152114704807778,2.468686546193003,2.694580603915595,2.6121740455089353,2.641766767570044,2.6205178807187095,2.7687282732928717,2.5948827004597863
Shadow Skarmory,Steel Wing,Flash Cannon,40,2.104127831932845,2.062743830440892,2.1080544864234683,2.0635695961506313,2.1044989374666137,2.065979563673238,2.1034746745595534,2.012209645651402,2.041219815877971,1.9990042569276094,2.0386407273034775,1.9743615267452275,1.9084896498940502,1.8652223710738804,1.9644296236064829,1.9062292382501234,1.92075069000712,2.0439534835705455,2.0389785103448435,1.951153419100925,1.972772277640147,1.9449926105832407,2.036460049919831,2.006462938704402,2.045513476377883,2.0250198511728033,2.154115136567508,2.075666359223453,1.9868255822547556,1.980563686414829,1.993199715031801,2.007034209988526,2.007497647905783,2.0471855995897896,2.0396429287381768,2.0032374104647697,1.9909638982823852,1.941497242466015,1.999845432475873,1.9837074886496984,2.070454987989492,1.995655787344742,2.0851923662139376,1.912601114278166,2.030244548723931,1.9999536998973615,1.9401868712182047,1.933891477486754,2.014056682490956,1.9588907884591629,2.016996189853792,1.9719866349530644,1.905284211732928,1.9001043144259995,2.014644667498431,2.0037878024439504,1.9865741630432623,1.950568993129037,1.8831830971025145,1.8701059209952944,1.9810069560060337,1.939735837528696,1.9406954730660966,1.9221081077442672,1.9632240076953669,1.9572803348484806
Shadow Skarmory,Air Slash,Flash Cannon,40,2.8165904002687268,2.7688397414725543,2.8125062423778298,2.774450716228148,3.4824765376787585,3.445471855040149,3.0030149125701584,2.889127066429723,2.8640896962670808,2.827705130184907,2.969700495249808,2.9013164361073644,2.8624923809864193,2.7821500432780706,3.570871395543269,3.44652914491141,2.6828683135184788,2.8688482576625494,2.849620350639965,2.7216451044880055,3.3691361422218864,3.3902235633131568,2.8617182589137773,2.8225212282270724,2.725666099780049,2.694220333375082,4.4033514822315745,4.216015379832664,2.8710753830048437,2.831248814546349,2.8808431607157416,2.9206038775493,2.8713505783166515,2.9178480740797084,3.374006002921089,3.3303265294384667,3.298025412662805,3.2996844491114437,2.81210465672964,2.7960769653166055,2.87027937999662,2.7891021417117696,2.97955980010281,2.701796801470503,2.7223208540344164,2.749670639958249,2.6733881403037008,2.7262427698249,2.882297947867857,2.7983763228234464,2.8480398780977887,2.826459339488173,2.6701381857299684,2.6632156904398534,3.4469588019881416,3.4145511391817545,2.8118526113474966,2.7407246307974296,2.643050254890494,2.5815132189310135,3.3724483554714944,3.317739442796876,2.678874015617667,2.6712700116575405,2.733479743795736,2.7414105761927714
Melmetal,Thunder Shock,Flash Cannon,40,2.1496384585868467,2.211274912642372,2.155248984581831,2.207019819989326,2.1513443249440747,2.2103284476951863,2.178223685804619,2.20046977145945,2.2324257973150274,2.285760083134437,2.2590032310100807,2.3237617240189468,2.006134332265303,2.0070397920394956,1.997682630725526,2.0292048275271766,1.9716263950510209,2.0889204537270087,2.0894683566730907,2.0809491919520857,1.8628133521020844,1.8789872299904211,2.3428622719000094,2.469314379327714,2.1058710786806922,2.190142041554222,2.2990883961890534,2.3617388758523057,2.0397334586851454,2.1233143489873023,2.011514457278988,2.1550053105515827,2.156234350534976,2.223290816295168,1.877459114453663,1.9591207537540456,2.0918876393678643,2.1455590659218937,2.1723503054910354,2.2471767412155623,1.9889526947515623,2.1242552381097477,2.1685598480352515,2.2469601381741753,2.1037368460543333,2.2307308191306174,2.0894073464219365,2.1723071476601703,2.197821542971181,2.2367726782548334,2.194421695672793,2.130398031269929,2.1399020663932244,2.227699696458297,2.225574512994996,2.279286646735121,2.468305895118391,2.5872310286809386,2.15068554712285,2.1583772129852843,2.0484727247766035,2.091485686626683,1.833097546726801,1.8546052734906497,2.072406387503644,2.0909653423156342
Steelix,Iron Tail,Heavy Slam,40,2.241043318316215,2.234135661687399,2.2416938985278385,2.232596702130189,2.2423290707048613,2.2346682395593085,2.1624757978920717,2.147119805949302,2.1574875688375004,2.215046123678931,2.320020012157939,2.3083322005778797,2.331935990948306,2.3199194830336656,2.2672286051751254,2.322296662223907,2.035080037231687,2.210237606966469,2.2670437945543997,2.2618326495256644,2.186567920598075,2.2190349520614068,2.205259256927169,2.2272914172218696,2.192881797443081,2.2413124766724057,2.1464220053512957,2.202764123992457,2.1534817252322966,2.2137840705787064,2.152572155470205,2.2109727588207497,2.292683110806491,2.3622901682644772,2.207293484456425,2.261308003376648,2.2177101818060065,2.2399324869378794,2.3271157724382205,2.339004929378677,2.146178858390144,2.2311787222859145,2.281214441789501,2.2560644546658972,2.220632479164904,2.2812625777957747,2.1882824456337637,2.239102686565231,2.22829019929953,2.2339303266762895,2.333198255811637,2.2641619873975984,2.2034507488305723,2.23961228190229,2.2264042588600366,2.2353415623001514,2.2416307387328422,2.244363439546,2.1907273921528314,2.16630469373696,2.1714346845480517,2.1830288675346505,2.2932772603837615,2.287322961316645,2.3058865994632973,2.2940328372957404
Steelix,Thunder Fang,Heavy Slam,40,2.6022356687888197,2.6041464154022833,2.6049710493394436,2.6004344661794323,2.6048972261367824,2.6011062992861658,2.7222226871202944,2.75131995915118,2.727494488537248,2.836534018074928,2.8218895542807734,2.8527383056069655,2.5691981915931166,2.578809830874862,2.508357826720312,2.571124303526084,2.323766571206275,2.5390899963604268,2.546030163967285,2.568367094779122,2.2720521207735254,2.3086155587272423,2.862675868658358,2.921023151605676,2.5454551227568603,2.615127247938916,2.6443144900331315,2.7423949651955555,2.4561983514318144,2.5426642846524117,2.555982195321523,2.653079382960043,2.6257598520433976,2.7193835446102947,2.2891935410860134,2.332614030125554,2.607093322061137,2.6474102528187275,2.652731855481717,2.656755891608992,2.471432334937866,2.5814971033757765,2.649598515528985,2.653296135564903,2.634064526779733,2.7064790005288577,2.5261926473047707,2.578980873157985,2.5812028506610787,2.5992679594625296,2.680828786645071,2.6329019298939937,2.5856488468846854,2.6248945821448295,2.6444485069521306,2.6555505781383046,2.9519851170817195,2.9654506801665557,2.6332056504630987,2.6236816179844995,2.5312503713395307,2.5538908968206977,2.3285506438883403,2.327426247704631,2.6752665257181167,2.661985876572045
Steelix,Dragon Tail,Heavy Slam,40,3.4588411854396535,3.5313274341824124,2.8159631612508784,2.837665758671307,2.815644287428318,2.8402011621701484,2.3378305768763363,2.332634782742765,2.3319204063457932,2.419541746421471,2.3792449533492994,2.3873074925673814,2.746518517302124,2.740005426388778,2.6804718088512907,2.75502826654928,2.5570291319866,2.7977291202317036,3.5555162687374313,3.6082681616438212,2.826805286611769,2.893685265772866,3.250386291134276,3.353470483836871,3.439235096359785,3.5710167269107966,3.518698141213669,3.708014626903939,3.24340367199437,3.40553946471321,2.706131768350865,2.8246958575503927,3.787392672716718,3.9411138480252808,2.7821911493404454,2.855423877444712,2.820216920012053,2.854199694058065,2.9221079366995495,2.934707756042358,3.4614460341729005,3.6393703222661085,2.7649560247612324,2.7695552471053926,2.815797230371588,2.9064493966332785,3.51995919899181,3.6139555466330777,2.8784769831621806,2.9006427939684722,3.9000158122014676,3.8442429382620427,3.4771431426635764,3.5547416773630514,2.91258725510942,2.956221450401622,2.8256784173386174,2.84738854266379,2.803551057890183,2.7506606432214156,2.834662002723864,2.8547758337285045,3.6831237496186136,3.68685640326565,3.6318477555909703,3.6255084096197123
Skarmory,Steel Wing,Flash Cannon,40,2.3530356774687755,2.3313854030190755,2.3542391709687536,2.326713436466801,2.3459834131407997,2.3327721956941754,2.411597640127426,2.361030152892265,2.3945443708701215,2.3568616622588245,2.353033702579628,2.3167876449491307,2.387315231877212,2.368868654380559,2.430072460812306,2.427668203290903,2.1508684155046365,2.2707522872170327,2.350194984270679,2.3153715157008685,2.333836653549091,2.306777885179041,2.282783480208843,2.2740728474897307,2.3362892230654277,2.3219537251143767,2.3921324365137373,2.358612563850263,2.4410195859858272,2.4413068441045143,2.356633210083185,2.318236988737298,2.4147059808715516,2.4597181796267185,2.362702626301072,2.35807667204324,2.387487444336559,2.3855113886019432,2.4505291047449287,2.443560930366486,2.3769194864618344,2.424590949430007,2.4506377640947714,2.323994842201862,2.3098609501302976,2.3553606192021155,2.3177416073504373,2.350095790713212,2.3369685547806323,2.2878560947135136,2.415378433790015,2.374831916108733,2.2562897800167825,2.288217852443351,2.285364059673775,2.284896939991938,2.2929131613519966,2.270540949973189,2.237610701148546,2.23311516623356,2.3281531085008513,2.3223576586559607,2.3081169497063283,2.290061858366489,2.362749476748795,2.3733801154776364
Skarmory,Air Slash,Flash Cannon,40,3.4421533480005264,3.4155840164629407,3.4388299757922525,3.4182054118923895,4.07093023483955,4.0834276789581345,3.440019114388323,3.399256916992084,3.46604004252479,3.4127071512033718,3.3072412958873296,3.2613825890258648,3.284350682950185,3.278621277975029,4.180441875758956,4.190621701047106,3.0878907274477214,3.2598844651700563,3.320248266272077,3.2768156202549967,3.9155195151597284,3.925631215551653,3.2902218843161983,3.302513353257632,3.366492438283241,3.4363406691802836,4.834368711342363,4.847259845633516,3.345827258313668,3.3121349443541646,3.334271265466926,3.293269135518435,3.322976320014197,3.4206349023712463,3.8237487678676514,3.8977872325864737,4.091580799879465,4.08009875923368,3.2695794889813476,3.256059965275614,3.158267032538583,3.2040666242615607,3.436170780797861,3.3224607447246854,3.1941006689512133,3.268336343953567,3.1763762355872953,3.204932763014315,3.405130160650619,3.322543565436465,3.352974055645495,3.308338131974348,3.2156219092644545,3.288395047020436,3.8227902644923852,3.83203353724329,3.2613018221517613,3.2695381629947904,3.214001543133448,3.128548565871103,3.9687399854535483,3.9447874718159275,3.2367300345283496,3.2390622811406504,3.3556998644821516,3.393720136498087
Ferrothorn,Metal Claw,Flash Cannon,40,2.3844917147590285,2.3602397958411667,2.379097263931512,2.357014666108386,2.373959861961015,2.359786803785373,2.287101447392842,2.27985296279922,2.5422204575183494,2.3121462221051137,2.4375985802484177,2.397439136178118,2.3016363854143824,2.281798698714881,2.3020272963014508,2.294059907965583,2.08475454077082,2.1945267042851886,2.2842718739000514,2.250689625480781,2.2676648650479962,2.2526685463967593,2.2839073801121157,2.2843027657589894,2.342523535026607,2.3708988349339934,2.286814304895051,2.2883350046752238,2.40842481102515,2.3980311473140823,2.3872863535589213,2.4059471596518462,2.373210199810708,2.4579179612753355,2.227918664022105,2.276442856347214,2.2728803947500587,2.277929111122185,2.2304955786817473,2.255720086654329,2.348675199482277,2.382215755655178,2.410275466870834,2.3199805222378886,2.237663862636775,2.2872359050000624,2.316957226023466,2.3514121439958378,2.3924393403352977,2.336231214842704,2.414335063618802,2.375426409637075,2.2524415065668717,2.289624069755383,2.250451088482156,2.2681252393382145,2.2667610638061655,2.269486151434888,2.2360404703171928,2.212599322493257,2.2500113546437333,2.2515851468192642,2.2591143321202174,2.2652672275662855,2.4758084098469233,2.3637298588732922
Ferrothorn,Metal Claw,Mirror Shot,40,2.522587022647073,2.5007051744621966,2.5208406150293374,2.5022404162400167,2.5155863873875184,2.500814718344282,2.4101971589704108,2.405208186961946,2.5979524283658595,2.454939133761571,2.5513361412516185,2.5338303515724387,2.4436474733531743,2.437201926569591,2.432891123135488,2.4475963447092437,2.2218674047409412,2.3549615828204478,2.4593784420573654,2.4197648874302744,2.4157432017197347,2.413705531141465,2.450457317719392,2.445575558812212,2.515876961003185,2.54298949835053,2.436022477372907,2.44844759954879,2.5031116997445078,2.52098188883136,2.521304710427728,2.5354607257408777,2.5436762705240117,2.6091845969500977,2.3978482604185047,2.4469497503369912,2.449203970937824,2.46173286994655,2.42767990517334,2.444001400617636,2.494667207002091,2.5360528971955496,2.589607928536061,2.4741255044232595,2.4109874587018405,2.458065948284338,2.4732101158349566,2.5025559660614856,2.5312232588710595,2.477851743527323,2.583287228019195,2.5262798781004623,2.428145036967585,2.4495460151494544,2.4395399672738427,2.438405732673975,2.436677814893968,2.4466416279392558,2.436487402051297,2.420311197592335,2.400276520860082,2.3961867040789,2.448716159666333,2.4333640290666048,2.632453871809229,2.503553734948083
Ferrothorn,Bullet Seed,Mirror Shot,40,3.0194061760167736,3.0425179241625697,3.0144731050159166,3.0405611210474146,2.7707343226629764,2.78420855415484,3.1421115553871375,3.2304403432113156,3.5786709242695762,3.3095403616554657,3.1897890813195873,3.2115601005189762,3.0324263688545994,3.0729800912810505,2.714037175398951,2.748116718227135,2.484187933532431,2.6587971307874247,3.0176150885925206,3.025781635473119,2.8827971289253798,2.939895480361261,3.1827433320444247,3.2616995475691506,3.0543647094376563,3.1196731820884787,2.9944809533162253,3.06537378493069,2.982011334088657,3.0527118565870213,3.0314943857710186,3.1164264995735587,3.0964739298211033,3.211011774286091,2.9166661893645385,3.0033065742347484,2.7342464090802556,2.758754817788791,3.0726428778889447,3.127771893732136,2.9484820998488086,3.0457641488952456,3.0892164402451576,2.998390988053164,2.945978520723099,3.037875416138876,2.937555953889185,2.994245433616226,3.026825054793538,3.0065521452005837,3.180554767267711,3.1153001951147354,2.909165551001453,2.9677515199512547,2.724770535176485,2.7282253582571667,2.705550063293949,2.7306505969070254,2.985894853148024,2.9422813961457277,2.6632059526831755,2.665513341212179,3.2707821368922865,3.298369899505396,3.4315126126480417,3.2943958544531498
Ferrothorn,Bullet Seed,Flash Cannon,40,3.1537117196966595,3.17201117426288,3.160021292136244,3.173002488692292,2.745976814580773,2.7558080009843766,3.66108880571793,3.6405875421126543,4.353650209797561,3.7263083662765406,3.5167153460238474,3.485041702827706,3.236735671666156,3.249965026803377,2.66177204799539,2.6922062989365907,2.48816275418337,2.6442593061188036,3.1656359309739126,3.1282402692404796,2.940511593795204,3.020258831022151,3.466682704076941,3.5528492238328218,3.1053299669137364,3.1400302664180053,3.203815615350684,3.2527997625651017,3.2332008086419495,3.2977121385327544,3.2613046046025542,3.3119695575449835,3.2014792591890853,3.275856139267239,2.981309464531679,3.0476977019063356,2.6395513861452438,2.6676103954572246,3.1730638606713186,3.197677244284801,3.022539582410644,3.1274118538775917,3.1629756735806134,3.0765314835730884,3.001606825984103,3.0797425187006637,3.0147932429249837,3.0728264142756765,3.1635259230048085,3.118604649526622,3.191956566279543,3.1295480787426504,2.962875168451976,3.00715474239504,2.592802401316135,2.5967193329262166,2.636140045908406,2.650028985929488,2.8510581069617933,2.8244088310768407,2.6035418003101616,2.605316664905802,3.512881990352065,3.541789414876073,3.5963704499929157,3.4592524604033277
Klinklang,Thunder Shock,Mirror Shot,40,2.4354543483240563,2.4381995328056134,2.4373603712689467,2.437610645186283,2.4316305537492986,2.435930554610697,2.5664494773893423,2.5977376462340254,2.8644699574454577,2.639541964565171,2.6725917718585994,2.661796445587656,2.528878798357996,2.5241901235692734,2.5307956727341754,2.551067688908997,2.5532908563231813,2.509166393778731,2.5358741592935172,2.506692604879236,2.1846682926869905,2.159323860404086,2.61092093377746,2.638519796251926,2.4498128708503355,2.4387038570574324,2.5604689145112838,2.593575979288183,2.4097234258779006,2.436725225941058,2.3723013054349233,2.3966009590596338,2.5301782094116247,2.58315956210312,2.2187455945783405,2.2375220368511846,2.507572111360364,2.4975056960691164,2.4592110489731622,2.485107606382453,2.4769804838152294,2.5229995391301365,2.443317036603367,2.444863688863343,2.39091041764737,2.4656265527982697,2.4375948983891216,2.4900948624877093,2.507431966779176,2.4718915140498363,2.5520742950099606,2.4848239881126775,2.4232136742590686,2.4460163336224374,2.48071553361342,2.4992127694466495,2.7168908932987286,2.7101754820789403,2.3402339946595645,2.326064850291343,2.33331226646177,2.3365751262703824,2.2652521610205714,2.24889634789153,2.4679697853249967,2.4989464775442225
Klinklang,Thunder Shock,Flash Cannon,40,2.4949348363675465,2.4493096177657003,2.4994956934967383,2.459299456196617,2.4952555424031826,2.4571310848373593,2.8586142892792314,2.8577828547017696,3.2046263188585744,2.874091729681174,2.933343861626862,2.869483568075117,2.6433159396042845,2.5834464502910937,2.615064937763723,2.596362235727125,2.7881639672345884,2.612545266586705,2.6903783493157607,2.591570076672289,2.123615052508719,2.107655887246591,2.7410287392012433,2.7772326678045594,2.4314392980659734,2.4211142017253025,2.8135379404273952,2.7774632884878274,2.504965462258537,2.5027124717413476,2.3860614271718616,2.432502042743959,2.5731373772605712,2.6580981943186086,2.1391849958382334,2.146278643356292,2.5614631114608097,2.5625144957408836,2.4587887709562457,2.474524794809183,2.5395123339170103,2.598638415217085,2.472605799309178,2.4832303945326664,2.383290106901568,2.447716322377069,2.5482941452380765,2.5891240033718335,2.541066243920852,2.4983306318506866,2.5919669575280087,2.551273542438198,2.4305847065445336,2.4835317771453442,2.4665360199635176,2.522891336845371,2.903970677494471,2.903651098659569,2.3084138292371263,2.313527399039132,2.336595689677511,2.3315883573261393,2.162481243223317,2.168380467256798,2.5292760063495514,2.5314116655472625
Klinklang,Charge Beam,Mirror Shot,40,2.559279414473765,2.5829711455028233,2.5586855966440147,2.585032141120909,2.549031121762433,2.5901927430235467,2.608543659466131,2.6757646211462465,2.927034852873944,2.7149125266085883,2.6409405294219606,2.6235896148979996,2.5950368304645917,2.6252963650855015,2.604385825099907,2.6339298451555577,2.5679036307184555,2.586176129395936,2.5822126203875193,2.543270741315651,2.3187901431288513,2.335647430416861,2.653736353905702,2.682262134134596,2.5664018580945593,2.5646097258388436,2.640565121917451,2.690578886787316,2.523148133007825,2.5990864958246394,2.4512968128849475,2.4968961740377407,2.5944270421221436,2.638289929063384,2.309647630933982,2.3371005746781246,2.5658293434225063,2.555287863362953,2.567099352937829,2.59407941884144,2.504664615999276,2.549399079022042,2.464493901399696,2.4671799980889926,2.4731917703589277,2.5305684058103597,2.445046850475042,2.486538679480496,2.5727775080450814,2.534073183935952,2.609951001769255,2.53844246881935,2.4383137314261947,2.463123468879888,2.48518736027849,2.511667219358187,2.7311450415102456,2.731569570385541,2.4283064102070258,2.3866318151247348,2.4691596128565974,2.473182521410887,2.313443181622363,2.296295293167758,2.4794366802059677,2.5095495784319324
Klinklang,Charge Beam,Flash Cannon,40,2.776509666317311,2.732079098503715,2.795718968227707,2.7333780575379163,2.799644070161177,2.743692914087072,3.0241615160817403,2.993512297828863,3.7447476231042103,3.1321605749400474,2.9676793989016415,2.860639013491989,2.817661348410045,2.776516919568904,2.7610315621425405,2.7624851738178795,2.9604062890415763,2.7770678823544097,2.7911452028653896,2.7012782024126283,2.3749307765769765,2.3830724607621105,2.886533928081598,2.9512297153614195,2.6361246962716707,2.6860326462740134,2.998509799439112,2.973482761304131,2.737397194667906,2.756497311262963,2.5482669296196114,2.6319584490214125,2.6772741992747666,2.768643901603111,2.30087050670086,2.34345599709949,2.6925346117788864,2.7097778096089047,2.6954744519433054,2.7510734587734844,2.6316411966326325,2.6810466697391324,2.55822463519195,2.580751567370888,2.541609996634221,2.632235774713307,2.6076824209359657,2.651856073239151,2.7161798151555288,2.67726206395987,2.6972271694768213,2.6528341630315606,2.5225552970706624,2.5740718187060483,2.544203570225606,2.5778940180548284,3.0077234387870786,3.0383366231243394,2.441752215190243,2.42898030849816,2.6188350306250845,2.6108711694025595,2.270327176301368,2.3007435568608807,2.59987231609429,2.615411351013198
Klinklang,Thunder Shock,Return,40,3.1135122319280177,3.130676993572294,3.10524398032951,3.129504670155002,3.9534774669501465,3.9672261230790227,3.754039076084608,3.835671995556619,4.031946525671069,3.885594089811037,3.8908890779874947,3.910890136662589,3.3444028383783837,3.3815995026750962,4.453043663797514,4.50517520369442,4.291408766923328,4.351822631324718,3.41146152012758,3.403971008141606,,,3.7111422376042187,3.7905778806320893,3.1352698837628954,3.1562789939801568,6.277816030703943,6.315153865523678,3.156116940843568,3.2327725005510755,3.06146665279181,3.1359900190560124,3.400025544145923,3.531894619245796,,,4.316374468476914,4.306046560177455,3.2036285271348697,3.2491626899368264,3.255787213029301,3.341519804073175,3.228970271591456,3.2591749395840757,3.1533205196655776,3.270618664535658,3.327978190025701,3.4193547969290847,3.2668413513668604,3.250594496999701,3.4761325562778196,3.4190212568218716,3.1878197280960996,3.2500499682965955,4.13197197322545,4.154398993486103,4.064197120007621,4.093385883816434,3.7243173919010344,3.6740597327895133,3.8329149511238163,3.806309465016532,,,3.272697835147625,3.308807453790689
Klinklang,Thunder Shock,Hyper Beam,40,3.335917985392504,3.2472759603599597,3.3436488896511123,3.24269726811009,4.32059692494711,4.225518670179789,4.132591893071334,3.9100103801730546,5.365533573064194,3.9286774706480316,4.128296006892673,3.9617219277058044,3.6355248240583413,3.4389710663821504,4.717509738807692,4.573182034946993,5.066093881852631,4.652856536490319,3.6869393039752145,3.472476680333062,,,3.847304372656811,3.804421424386215,3.2537362193267936,3.19445529690355,6.957931798350822,6.765611823395239,3.534614543429789,3.3728771793123595,3.3197257988342135,3.2396414423064597,3.4445619159797047,3.493018452056841,,,4.596602437472796,4.541506981490245,3.288802749018415,3.296320640347097,3.4847881634104807,3.459166853934724,3.3660087316280602,3.3076602612166024,3.190639903611058,3.223388587136658,3.437462096106767,3.425886914071143,3.4462135725686505,3.3165924631248713,3.4395496141620376,3.3331204761141744,3.30621181816445,3.298257371355409,4.288910747017884,4.32049019856119,4.115482287056969,3.9745381358092615,3.904221255387586,3.8449230887817416,4.0746864601278245,4.008335524176673,,,3.3850396971790944,3.3364167570295558
Klinklang,Thunder Shock,Zap Cannon,40,3.4134585829619195,3.324318683549112,3.4228190593806542,3.332979473400849,3.4088367626741656,3.338368859182473,5.8432469030919,5.552631087446284,6.99603586244103,5.626787127914299,5.955517539829011,5.749847862229054,3.7524531372304684,3.573249596548397,3.7014267593240975,3.6079668056557552,4.040024793419063,3.6240222249217586,3.760027166706901,3.5637865624012974,,,5.407593740142066,5.338306921794223,3.359327136589684,3.318167255399592,5.544957482637267,5.4069073565305015,3.5885992573981826,3.462767425527879,3.390419931927279,3.346760405860096,3.573457893646092,3.6111389657162856,,,3.586600595975491,3.5210501123198896,3.388678815297302,3.388488762676295,3.5460664357358014,3.5482299169291593,3.4594384244759553,3.416797622389113,3.2843160102883395,3.339922550618481,3.5335436468121766,3.537371330136352,3.533123302292279,3.4072328264149765,3.563018023493104,3.4580320695843496,3.3896019022398054,3.4012666290364417,3.3643898591735653,3.4277486471675105,8.168209588840657,7.907308629517965,3.0989893259655132,3.088326945972259,3.2073192971625124,3.1634357665208017,,,3.4877019581111903,3.4397122589045637
Klinklang,Charge Beam,Return,40,3.4367349526147413,3.469944384353736,3.4343605626414915,3.4695364530278523,4.529219590680685,4.559668743146593,3.9123976741995974,3.9917042599573387,4.280893199107852,4.052641136582259,3.757672773916937,3.7665496965958085,3.5318221203026545,3.5746948865759767,4.830523701671907,4.881793652152293,4.48894056711717,4.5321552417050865,3.4886953991791056,3.467577244895212,,,3.8649591648006125,3.922288420532307,3.46524752367991,3.4829262778433083,7.207091834927667,7.2416203483253,3.5111821701906436,3.5868426691546236,3.269582710988601,3.3460300293473706,3.5902185226252996,3.7094131651326387,,,4.654758177922122,4.62025975554724,3.5261066427272514,3.5640250449274102,3.322082856579533,3.3960805493873476,3.302372637845312,3.3063420877764984,3.3451060102375325,3.451225722083417,3.3404511930086347,3.4131587837655517,3.4639248283259483,3.425600297028402,3.6572371257427934,3.5937939207614176,3.254872064673802,3.2985928138233294,4.253819688352828,4.26646404339719,4.160466453489181,4.17289750450177,4.0326873650654536,3.9912049578832263,4.520519890724295,4.492001988548647,,,3.3250015761518554,3.354131570084053
Klinklang,Charge Beam,Hyper Beam,40,3.782429127198804,3.6713573943138362,3.7866875606707366,3.686177197659321,5.055283851155072,4.949585317341449,4.387659254304047,4.150697274117168,5.97778754067276,4.311548049116011,4.08318128909434,3.917976306241308,3.9269679916103106,3.719092865830723,5.155012628112114,5.026673677259999,5.4111794350977735,4.960184369811328,3.835324912958073,3.6151785128451235,,,4.0985073621265515,4.05864673432347,3.6155072706690685,3.5892462619249836,8.0966565672502,7.823522954789752,4.0371820636288565,3.787699989234799,3.6314179745685826,3.5135915911959126,3.67818633495586,3.7438886374531353,,,5.003622936685974,4.913057869070606,3.653603334607865,3.6695833518019785,3.5835164789094915,3.604557812505951,3.5136244438283555,3.460511592117902,3.4122074889342024,3.4962285550754615,3.541756916646426,3.541848399188774,3.698232469837013,3.5740182825119113,3.6877048409959374,3.5944998382184012,3.4230456999005088,3.438608825208566,4.464365006667944,4.477451718421017,4.332887391574688,4.192546179237991,4.1702631147583356,4.182422144099405,4.845357358739654,4.763239041074013,,,3.4670896371604796,3.435811036539737
