Attacker,Fast Move,Charged Move,Level,"Tapu Koko, Tier 5","Tapu Koko, Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togetic, Tier 3","Togetic, Tier 3"
Nidoqueen,Poison Jab,Poison Fang,40,1.9974074520575005,1.9984745204864371,1.909505423521401,1.9348712849000926,1.9032796325080144,1.944180979492038,2.024852690319556,1.9976480582820522,2.0472434880279553,2.027915507492843,2.0984896747220483,2.096672732314615,1.960027126041746,1.9457235433733007,1.9898070809843451,2.304313104354984,,,,,,,,,,,,,,,,,,,,,,
Nidoqueen,Bite,Sludge Wave,40,2.7401122180568525,2.7699492354932,3.02090167931105,2.9067711736268675,2.548055860144391,2.482298986250369,2.7989256854769407,2.6979852219430307,2.8436992993278536,2.819143367886542,3.0842141447645965,3.07018708154345,2.9747868401778668,2.9565700247885074,2.595161261038581,2.9548265550257593,,,,,,,,,,,,,,,,,,,,,,
Nidoqueen,Bite,Poison Fang,40,2.8956839186557075,2.995359924609255,2.86076881188247,3.0430537097376615,2.5227564204301416,2.6562805217626684,2.8028391024764066,2.8663764003874226,2.9364275823542343,2.993771515052897,3.147375207770143,3.2917646337489312,3.0808149261100644,3.173309960998537,2.608039015804628,3.085963801924725,,,,,,,,,,,,,,,,,,,,,,
Shadow Vileplume,Acid,Sludge Bomb,40,1.3434311767499758,1.2823905307901338,1.3619423188283226,1.2708865214519867,1.3623656457858224,1.2807925840298378,1.206957984960056,1.2145345867889876,1.3534290740311528,1.280381043684988,1.3238741103923624,1.301557061980889,1.2410040103581652,1.2429739823135795,1.372253016684915,1.4388052279171997,1.2240630139907702,1.2339262463993972,1.2670945248085874,1.2451221027936386,1.2166435013841859,1.2094351589281827,1.4776539020662933,1.4578451127118777,1.2701168728224417,1.2324191917857226,1.4162221355514402,1.4259017850218463,1.258136288957668,1.2490124596035383,1.234082007332826,1.2248377748261519,1.46711451945649,1.431091221157638,1.2378329800169898,1.2116753217451564,1.2671364116607038,1.2397078069141347
Shadow Vileplume,Razor Leaf,Sludge Bomb,40,1.6594249659758222,1.5905672022894362,1.708023911994746,1.5890006911731605,1.983451385342282,1.8371406447261278,1.7215020902788114,1.758392616832186,1.6990550731872558,1.5941410743779891,1.8597007544431217,1.891531354144458,1.5297000137233756,1.5556202652450783,1.7197146682794955,1.784278309023441,1.5283516272840736,1.5470784536790025,1.2782178924323655,1.24879542462971,1.8022054374467997,1.8224029713703078,1.7945603466594644,1.802573903951327,1.5263123690327853,1.5048215334480077,1.7692033700982983,1.7857560000142942,1.5253221743687848,1.5521935674562057,1.800955393768118,1.8093212962994114,1.790288675178344,1.803811782019646,1.7916192022978394,1.7742874746406616,1.7796042432197061,1.7730963703079654
Shadow Crobat,Air Slash,Sludge Bomb,40,1.853904465046966,1.8538625442874341,1.589485514119106,1.5598574155000173,1.3589651182485687,1.3520961697614613,1.2872739854880737,1.314004175496083,1.6828226568489364,1.6604392448714422,1.6055657126739953,1.6445922469194494,1.517665163434961,1.5469677533503272,1.7994841235095853,1.8971837765205914,1.5163935603672751,1.592819926038844,1.6035456366487957,1.5923272788881389,1.3043210792608586,1.3011389332254424,1.7916191070323881,1.8513873762326583,1.538962353595263,1.574327050167377,1.795939643739715,1.8312121869274611,1.3030362634339991,1.307812477261991,1.3200149154537149,1.3270278594394687,1.793480109688152,1.7896456512938574,1.3137782585647952,1.3097711786506137,1.5862565809622042,1.58806233963979
Shadow Crobat,Bite,Sludge Bomb,40,1.8808260503920953,1.8637901840071456,1.7365196000169147,1.7203302613348335,1.5848596395291132,1.5848176737230504,1.6020175745959397,1.6473710694946275,1.9275321958553964,1.8753921435705039,1.761381087818549,1.8316310899593122,1.7052806281129316,1.7419674752389378,1.7871503980426613,1.8634410656758555,1.7975882593112957,1.929122275947232,1.8207157664444065,1.8511166096832927,1.596718824748002,1.6261757671667152,1.8656811871877697,1.9347398181561746,1.7802523779400992,1.8656159268376473,1.8783943728037062,1.9462450856054012,1.6014338168788271,1.6435094119918747,1.6841559070072596,1.7109459844134904,1.8754583427416942,1.8499196016029114,1.6202165601160035,1.6524078432490699,1.8569903858874526,1.8930454386511077
Shadow Crobat,Bite,Cross Poison,40,2.207996095752824,2.221095493527061,2.060463051100799,2.0522317189822794,1.866101185199675,1.8644515789777303,1.9020000001043929,1.9550043664056265,2.316149036947232,2.2771541844324177,2.1124412450853804,2.1813949736143323,2.0479471620208565,2.0946404824793485,2.005774852505798,2.158780744891105,2.1790761108278054,2.301892992657953,2.2027032047245485,2.2179790948324682,1.8869455790807848,1.916385970038541,2.2270426604333964,2.2788510650248606,2.1707401115610194,2.2633356381293996,2.266893998561583,2.310383473402474,1.8936267027136864,1.942645003838023,1.9871074092893546,2.027896337807329,2.1895811368144567,2.1843862331440174,1.9362212919233175,1.9599774934900958,2.227499569974725,2.2900683269127775
Shadow Crobat,Air Slash,Cross Poison,40,2.1660034772201415,2.1786602527553214,1.8504116508406914,1.8450962041660497,1.5729099650312803,1.5510388437618563,1.490892347287612,1.5020038807115597,1.9807918367832076,1.9182352312836652,1.900773337398313,1.9266800620539475,1.8055037821324635,1.8262232875840096,2.0257774535710507,2.1588393375356962,1.8120088686111828,1.8596091400151566,1.9115634986258319,1.877043614694372,1.503338228809045,1.5037325720789294,2.1389885524229224,2.164456602617141,1.8266291848411322,1.8423091532221325,2.130345359934396,2.144396698326813,1.5047029837912314,1.507390044032403,1.5273290482372983,1.530151043349362,2.0904019014667563,2.08299677796122,1.5160324544313453,1.5035944712457796,1.873374321562691,1.8751343742945628
Shadow Crobat,Air Slash,Poison Fang,40,2.5014128203973676,2.5218130878002802,2.0939399731952304,2.0580610189998416,1.7526418798308228,1.7208389560309116,1.6629598773888221,1.6676459514276063,2.2263307719279477,2.154030758646237,2.170026476728861,2.190506484589731,2.0314941679383165,2.039678993588069,2.2637892922929876,2.42214813223536,2.0458402279805457,2.093526910881211,2.155330271125994,2.113039362742521,1.6629593165759058,1.650150951622073,2.4074324847651947,2.4411728034817033,2.070265166138809,2.0911020935252846,2.4124793565052256,2.4321249137243934,1.680707885326864,1.6781448646126202,1.6897533934543287,1.6855615552736571,2.3730529138063767,2.362047510178033,1.694628594480942,1.6667020493878737,2.1176207222156527,2.1156899601782904
Shadow Crobat,Bite,Poison Fang,40,2.5465126851721402,2.5718926687961625,2.3206374719632983,2.3223325433370166,2.093668744351056,2.0928292023793937,2.1517770044955102,2.198967399272813,2.6373965186281323,2.573880434382981,2.4251155229511188,2.490146556963442,2.3143072063384094,2.3589209076823883,2.2326048101072153,2.42075142687162,2.499393915620016,2.645737013847768,2.4985033486149444,2.5101693214834038,2.105209443713491,2.1264847729358087,2.519102309523975,2.575322822014207,2.4815940307032136,2.5706778269809445,2.5732966453528103,2.6314848394739245,2.133551822959903,2.1764917081703485,2.229912162842777,2.26125336927955,2.4895048624186513,2.4809175501578182,2.1741616644166553,2.1863112567880587,2.5560306125271124,2.6068453799292093
Garbodor,Acid,Gunk Shot,40,1.777597929354623,1.7384499844925205,1.7386103461577962,1.6957923773777188,1.7360429854345316,1.7156767982462953,1.7142125649106565,1.6903224723295749,1.8533480718144377,1.759989578018782,1.8154839053026117,1.8049086957742124,1.7073611365938284,1.6637593048386259,1.9990773489493616,2.076367094329859,1.6733933100881282,1.7186185065968536,1.7625649566563286,1.741659550487205,1.6762081690196922,1.6658597616497128,2.030996634788679,2.027308978650741,1.7056152001964833,1.7055868098874567,1.9961508847955558,2.0014552043633937,1.700688209799602,1.7104406334199422,1.7153452160526383,1.6987693969954116,2.0267613784863534,1.9660950674355542,1.7523021138337367,1.7268600102522078,1.718165264387276,1.700506955889231
Garbodor,Infestation,Gunk Shot,40,2.5289586785982476,2.452066052139249,2.5476531155582443,2.474819706633036,2.025972388208442,1.985035244939572,1.9551467866735979,1.9218875603042667,2.568253252271687,2.4598918415000597,2.4732381149974767,2.5571807258512265,2.3542073147083262,2.3800339533753574,2.9185885298072978,2.6979836761403893,2.2351839441231087,2.3125864449895914,2.4256514792168127,2.408332573098244,1.8681939163383412,1.8623914212982102,2.4596202879345905,2.504692380502387,2.325724741334217,2.391318478771487,2.4013305519168644,2.45740180912792,1.900730119416078,1.9389171932305516,1.8861187784807836,1.8929546366398116,2.601509397396714,2.545907295838493,1.8639629916045892,1.8334868478551252,2.4385828207620808,2.4613761875323674
Garbodor,Acid,Acid Spray,40,2.8004736804646755,2.794858258959827,2.670847353482074,2.654690631105407,2.6734115495097144,2.6673367161966968,2.675567682958052,2.6714000766213166,2.860218165177961,2.759200390714114,2.9954295744107067,2.9678434063500387,2.6373394309125002,2.627879550689094,2.922495570155985,3.254648699483801,2.6667461335186764,2.7646742822558634,2.883533745093308,2.855536061077243,2.60433878501713,2.587563811837291,3.2955200624286918,3.247248440168098,2.743247842212835,2.7624361365727745,3.191965553460349,3.2142164143616525,2.698266094160036,2.735310191385097,2.6833767435999136,2.676205981502863,3.1748852772636513,3.0653963148385532,2.8320326093903523,2.7893047279786725,2.7004615446027427,2.6985399198254276
Garbodor,Take Down,Gunk Shot,40,2.855198037418607,2.8886047128647685,2.8504195472876352,2.8475785175890493,2.838816577535185,2.859527005589046,2.894896658910124,2.8829661667809874,3.1856359238591048,2.963218559709103,2.9767650382563664,2.964193765501294,2.7903598694190985,2.7722224265365103,4.111005401411986,3.610467501755988,2.6621755280033637,2.7540092815538384,2.7876250213334433,2.718888446791168,2.7625573627291113,2.684177816563829,3.316131237035397,3.211399850567224,2.78102064134886,2.837278176526342,3.2064838708313315,3.2127678556258723,2.726520083162556,2.7795894642139354,2.8222638434229426,2.8260824209043416,3.3552949661862033,3.2773042866454962,2.862055263154884,2.751533492302476,2.775536852257417,2.7850017188696476
Roserade,Poison Jab,Sludge Bomb,40,1.3414375124367994,1.2910669757177966,1.2964973432555282,1.2554888813348264,1.2912986546793577,1.2630679627160235,1.2143327468731944,1.2136048619464441,1.335790856198779,1.290298337041027,1.327766371812607,1.2958434684597255,1.249006407100952,1.2408092876762258,1.3523789449906918,1.4338297656979928,1.218895633595749,1.2440556806022238,1.2547165300345455,1.2229364690414048,1.226774843709751,1.2191561585996693,1.4452586230437041,1.4464416821772867,1.2362509660468617,1.234496367875429,1.4298838434422079,1.4334746030757846,1.2088016699417912,1.2160087782319706,1.2320640341831575,1.2303527199013469,1.4475662422681055,1.4108367536193809,1.23902181636475,1.2196284535343773,1.2659008153235536,1.244609226420133
Roserade,Bullet Seed,Sludge Bomb,40,1.6517604407383792,1.6028899863253552,1.5700238792007588,1.5404948937639291,1.6766912164264465,1.647879645797787,1.5798254336768078,1.6008839003721012,1.64555153416891,1.5798470940173814,1.6901993487584084,1.6820905722472024,1.4777869173718543,1.4911750864889828,1.71921313378597,1.8093165579947947,1.4685396902395,1.5040889951712897,1.384307376663273,1.3491309922524244,1.5716102827310663,1.5716294377897908,1.7133241366778245,1.7591908718238978,1.4769118518985522,1.4678955647335437,1.71454125006953,1.740568866977544,1.442427709783495,1.4654725127965693,1.6177986237713717,1.6147913556308546,1.708891686209388,1.7323109722233927,1.5781070057326658,1.5736239014052467,1.6018980045095754,1.5960322881917344
Roserade,Razor Leaf,Sludge Bomb,40,1.7147586062650966,1.617685175519224,1.6818143532378453,1.613755317633997,1.913130289211293,1.8757696309986842,1.7645887722957116,1.800089176953268,1.691998549923633,1.6118025399896845,1.9320352362610158,1.9388233021212251,1.5784240567789747,1.5864562314882107,1.754517783444816,1.8273722012545273,1.5414136020362668,1.5831039943035694,1.3177621880167845,1.2885522940133913,1.8546867167012637,1.8610683822431937,1.7862345144672314,1.8072939057536557,1.5769941752320207,1.573721064981444,1.8103745576510148,1.843118424394419,1.5456632839545332,1.569325415319099,1.8386852326529963,1.830543674230211,1.8370657115476592,1.8480599618307412,1.8145233858150722,1.8071066273024854,1.8949243321645473,1.8923316282343152
Dragalge,Acid,Gunk Shot,40,1.7627722478906465,1.7437744034656641,1.7446734797613632,1.7303021833085923,1.7468231936434022,1.7472644291251667,1.701132800468347,1.6855717241284482,1.8292255760190648,1.7856771637643973,1.9400975685913502,1.8789476727878551,1.7749580374230485,1.702357048916134,1.8250726580627168,2.1064345367665513,,,,,,,,,,,,,,,,,,,,,,
Dragalge,Water Gun,Gunk Shot,40,2.390348608022589,2.3494969573958566,2.206622832036964,2.178336191430937,2.521478566680783,2.5061182197589096,2.502007860865982,2.525227277373954,2.4678461611605362,2.4124656220174967,2.7561198244538905,2.646414977113974,2.2468880940767226,2.15699854503831,2.277282046166688,2.636873185355093,,,,,,,,,,,,,,,,,,,,,,
Dragalge,Dragon Tail,Gunk Shot,40,3.0560876480251453,3.0202986413910957,3.008693211385727,3.1162443890767784,2.1401964273256486,2.1829525430272265,2.0987725572148355,2.0954632177770107,3.199535500127773,3.0909136352243944,2.6263948603931575,2.652698954546658,3.1527861062756104,3.0466469189283343,3.09958657691845,3.494370961137366,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,Poison Jab,Sludge Bomb,40,1.5114462127495167,1.448237594031015,1.5227869020814688,1.4179972162258907,1.5259511838362296,1.4204886588285413,1.419500346818263,1.4198897565622646,1.594511579810658,1.5015078006546152,1.5038735539655033,1.4504834004894325,1.3859190801907548,1.3900382329973309,1.5936667152425252,1.7094657364031034,1.3956416068915718,1.3929340105329895,1.3987128577397732,1.3871545256321096,1.4170612003839163,1.397908481525813,1.762526016092244,1.6502503045286894,1.3947008667579393,1.3855413358534892,1.6626238975633763,1.6269938371835027,1.3762607887061482,1.3785782059721523,1.4419157220981051,1.4191821385560834,1.8008838228940534,1.708544113334858,1.404802209048527,1.382350024266865,1.4699778714227003,1.4207554321444855
Toxicroak,Counter,Sludge Bomb,40,2.0574115480311006,1.9885407092149363,2.058996167418483,1.89553620867493,1.7794171524532427,1.6473710625400761,1.6619604227878784,1.6758124200176818,2.082232582740525,1.9766406008888027,1.9834848266889389,1.9690616122121978,1.580974255245835,1.589388751418917,2.374286062230595,2.4656944415588775,1.6387270239046974,1.642536423536409,1.8819109321390528,1.90126011262092,1.6625041549709136,1.6427464114664954,2.5179008029737786,2.358214775204282,1.8528597972407161,1.861925722194634,2.3697024246530733,2.408386888628121,1.609666593977901,1.6135039530353645,1.624495209828552,1.6159722381240798,2.4087181575140355,2.3576787080691046,1.6276565049192129,1.6133496579394797,2.0585389074093148,2.059192411596247
Shadow Beedrill,Poison Jab,Sludge Bomb,40,1.7087346782264143,1.5827743954892246,1.6035515456755518,1.47098229981862,1.6177944596975422,1.4756666807187881,1.4594281614341538,1.46009519315313,1.6423908431243202,1.5549434764672103,1.6223336007245468,1.5332359982967614,1.4903702831490373,1.4380307444822333,1.8381203920511553,1.8103884707688203,1.5417841864463624,1.4620098798011307,1.505801832174952,1.4610177832034605,1.4537619905975496,1.420352115856249,1.9152189733275475,1.7896696646835908,1.5127158938274907,1.46935423242994,1.7252020598442592,1.716716894445553,1.4482895424820403,1.4241710707833688,1.4668611059146703,1.4510278466335746,1.836365936933461,1.7510645921855605,1.4618696229183719,1.4198180016128323,1.5766126587367308,1.4674425432778917
Shadow Beedrill,Bug Bite,Sludge Bomb,40,2.105496709422628,1.8873122385423542,2.1566419906295495,1.8770422029059661,1.6881789969015808,1.5128017785548353,1.449515041640375,1.4501811323176177,2.030006121224007,1.8855273057415651,2.031478107556908,1.9874206981726017,1.9198891893363406,1.8446881456483981,2.1979650125810313,2.0348052590301497,1.840882822397387,1.7858807207397334,1.8799690370819382,1.8550860427222673,1.487663883816456,1.465626980270225,2.1087634635759813,1.9616417298278868,1.8161979127821979,1.7811162260141136,1.979912062046449,1.9750747586085486,1.451125426530243,1.4211351988110628,1.4527393454608248,1.439385878159298,2.026973844460683,1.964078060115856,1.4623901576838663,1.4193896898985998,1.9891169872626568,1.9161651944388296
Shadow Beedrill,Infestation,Sludge Bomb,40,2.19578480742388,2.0361252366222446,2.1651518145862476,1.9596587738884956,1.7400213213618523,1.603624204853307,1.51428301946572,1.5225518142766863,2.104486619479755,1.9950472973074844,2.0556119864847857,2.0517367719804094,1.902572610827445,1.8508628588826215,2.3113464657666682,2.192722005483452,1.879095282320955,1.8225155731793354,1.8389010554904928,1.8143888142842908,1.4935097996987305,1.4728239567420058,2.2272778727177585,2.1221963223242137,1.8552380358694958,1.838558501916741,1.9906302523605228,1.9900654763595278,1.5032534933972994,1.4953078838020017,1.4988248282228998,1.499842856487059,2.1401626475927342,2.0911528633192376,1.50733276482339,1.4589710229459787,2.0404618568946082,1.9650075025340419
Slowking (Galarian),Acid,Sludge Wave,40,1.8670771161440913,1.8379861690866621,1.7710772565931017,1.762775395931619,1.7771747793390447,1.7717589188445606,1.7953379211438254,1.7558500230693095,1.86286936832534,1.8120024086768964,1.790630609869589,1.7669480812784881,1.7822832620314475,1.7579871486922543,1.8011159501683967,2.068386366755567,1.7201877756592758,1.767920111748408,1.797535141330383,1.779309249377256,1.7861717741891698,1.767373618621339,2.0113318948354086,1.9773446703081519,1.77508119752267,1.7566959716293145,2.006933351722864,2.039024316539519,1.7213580450356465,1.7343677448554167,1.835671265970789,1.8101760625934735,2.068167500232616,2.011783821453658,1.7787518836591314,1.7423643054562945,1.826244456175928,1.812305631253034
Slowking (Galarian),Confusion,Sludge Wave,40,2.2705385914789225,2.2914628283651277,2.1741658460978175,2.233213034691875,2.1773995628888563,2.25150842128852,2.1500434090463174,2.1279624389721623,2.2545160370126047,2.2556761002259176,2.2238917272100664,2.251964119313505,2.1684215246670218,2.194803168493785,2.6242702028730753,3.1270316167957115,2.1107594894747397,2.1694366217603296,2.2329764640627117,2.217884280469632,2.1722774609643873,2.1573171667539937,3.041013078547746,3.0475303934600166,2.2203047289012177,2.18584636963065,2.930478141885419,3.0638474911219746,2.193122176599008,2.200979206438438,2.192684302462936,2.16085950121911,2.9783133579758307,2.9483610671234346,2.1958949920616204,2.147740113344544,2.2028360001139973,2.2190024359259986
Slowking (Galarian),Hex,Sludge Wave,40,2.4885322906514484,2.465437359535336,2.265779862593193,2.361849600225585,2.256665764298048,2.3762773711291025,2.255261373193624,2.243791899224481,2.4398962957680355,2.403373701790073,2.419003461712253,2.4531262970622714,2.6792449514386423,2.7251998742643773,2.047650217940445,2.3745853866771682,2.623706407643404,2.6662824697409833,2.3697698121479984,2.3557685049603045,2.3046411100513797,2.2832565036692696,2.3651496632802718,2.353754629653919,2.372271274965297,2.3743344457622846,2.302237678391185,2.3481792265580346,2.3131557476576456,2.3661101951026655,2.2658396013119897,2.2318859543977774,2.298217626793589,2.2751297664712093,2.2798180441263756,2.2499463835553097,2.3576376115587423,2.3397504466847945
Crobat,Bite,Sludge Bomb,40,2.046750571184971,2.1284220745228852,2.0038386225144533,2.143689369961742,1.8156170158334293,1.9354696995582454,1.826719532463197,1.87212232960319,2.078140811923906,2.1426271209735006,2.145362124064104,2.26264643801941,2.1499554269983547,2.215162020010846,1.845545053136576,2.2262723072944204,2.095608705957362,2.2177090355399005,2.2315256060169135,2.276724289716656,1.9436183266341027,1.9699005098171738,2.121900597178545,2.177470555539953,2.1704626308230095,2.286341263120278,2.2617817958612494,2.3017861628879692,1.94666978071947,1.9902885848499037,1.890776015738067,1.9235916528144152,2.1070192890657364,2.0944532226054777,1.9948346997677413,2.01538791962616,2.123580006001557,2.186581455978494
Crobat,Air Slash,Sludge Bomb,40,2.0526474949925997,2.135743165166504,1.7675100474736116,1.8698762725837121,1.492275543978169,1.5697624377916277,1.5550323515228193,1.5707111800223437,1.8775727861077927,1.9214623224966454,1.8303108128734962,1.8934357028377957,1.8460299728963334,1.8671815478216192,1.8326026418271757,2.197425792287693,1.8032926072622943,1.8724513444430586,1.8926445966066583,1.8911970199600852,1.5606915319430545,1.5559038331902255,2.0729733389668437,2.119398084038499,1.7889626420052203,1.8280848801302254,2.1268554260879124,2.1610384470246617,1.5884323882967784,1.604162338164991,1.5482010434390934,1.5601346062247279,2.1365409472604333,2.135246436416972,1.5631597220349258,1.5631147683242723,1.9001103738038476,1.9089071382517104
Crobat,Bite,Cross Poison,40,2.443562567449211,2.530363248805004,2.4252331609347664,2.5955495657022634,2.163605710161092,2.2903156180455864,2.1321997412212235,2.1871688083778547,2.4916000166402203,2.557231533950711,2.6335119739576074,2.7553564130541024,2.6258471760425666,2.696157040353231,2.193195754368355,2.624094359846445,2.5412695395913434,2.664103358338791,2.6965120923841077,2.7359660529594194,2.286753168485805,2.313078926478331,2.481356478553108,2.5322780350793592,2.6547756084514034,2.783466841899536,2.7060356585571657,2.7452934066534143,2.287518863973713,2.347831128696734,2.2159914452691845,2.247502497963266,2.483996896870735,2.437409564517643,2.3560438180918566,2.377951616272374,2.5500164202813322,2.6123377955091027
Crobat,Air Slash,Cross Poison,40,2.4557970372457634,2.535726152643552,2.0844320038248147,2.19238849974081,1.7222169605558244,1.7824587366846902,1.7872313150192902,1.8011975544008512,2.2251662536326196,2.236522259326867,2.1788164053421224,2.224320580741498,2.1962758282877552,2.2083242764163735,2.1507838049335164,2.5506538273892416,2.155803326999927,2.2004656583380062,2.231757331348097,2.2194209029108793,1.78524893328097,1.7718207351411892,2.432063058737783,2.4719275007229373,2.132184254091399,2.176848593042303,2.531909467561291,2.549453970784442,1.8194465266747122,1.8359617809454294,1.7678783214162919,1.777016936445976,2.5207118765812715,2.4893725321411955,1.8023479885650715,1.7882354983013193,2.238928797095879,2.2478958232205275
Crobat,Bite,Poison Fang,40,2.8054523509000253,2.88908754945902,2.7562241693412464,2.933856610191412,2.436030107971975,2.5670084290541664,2.398222841525429,2.449334425059198,2.8580859586252796,2.9139690154243234,2.965585705666652,3.0978007596890613,2.966141672968978,3.0391415707731277,2.5336555594852608,2.997446947046884,2.898318986021385,3.025132327330221,3.0893056552750986,3.122042441322898,2.5796273405833428,2.601937812255232,2.7933764344846286,2.8368679853085546,3.01867732764798,3.148037327441049,3.035021320903919,3.08152940593042,2.5898625191117763,2.6426902933663285,2.4767302296541183,2.494818767840754,2.811436447782264,2.7300422930732995,2.649276114229634,2.660196174203238,2.9068086287459174,2.976614815328481
Crobat,Air Slash,Poison Fang,40,2.8327625598963517,2.919677661014476,2.3523501206905033,2.4485471759251243,1.9190629112648205,1.9689059092129404,1.9875636592502872,1.997826607887608,2.547812702431255,2.5420653244586826,2.4302968062663566,2.470967901833251,2.4532114003958894,2.459863220427428,2.469221199526479,2.910250447990661,2.4199817511694888,2.463885234628925,2.5185314057709167,2.498390298776326,1.9850060597724615,1.9682187559310318,2.740093559875242,2.7713166224983046,2.3865948266134995,2.4286948293550292,2.8513248756673657,2.8574733562055776,2.02768311373892,2.038045741261848,1.9507457517292273,1.950688463311168,2.856237432059782,2.800263964807792,1.9957136181015658,1.9697349116196443,2.5369695774530387,2.5381450371880767
Haunter,Lick,Sludge Bomb,40,1.834425815672473,1.6224404143952496,1.8916071124980476,1.570439370226762,1.8931476845384685,1.578329143582359,1.7518834640528576,1.5949068403141835,1.778202143022696,1.6660101220564076,1.6999138447232784,1.6346715183887475,1.7433511550756353,1.7418973527455082,1.6567554789236432,1.6927542954037471,1.8971565415952338,1.8242465441625977,1.6570026475538633,1.5824592379146891,1.6707165190784803,1.5825543785989726,1.917192832616236,1.7366202577391332,1.6867145319253125,1.6286779673986398,1.6999127906882183,1.6398935646312678,1.69830760109727,1.5657706428716167,1.7235429874804356,1.5701864190889432,1.9841924722445947,1.769463226996657,1.604228811685086,1.5174963165812418,1.7083792353238851,1.615579008249099
Haunter,Shadow Claw,Sludge Bomb,40,1.9446404475940513,1.7449365765342582,1.9707080653359788,1.7158030064619036,1.9997440421520554,1.725137218966814,1.7839532834834388,1.6596881597921636,1.7870640113628933,1.6731149534322078,1.767590397526597,1.6901595562023988,1.980013656250326,1.9766937624006575,1.7181643915908527,1.7199850862529782,2.079035723618893,2.062542023383969,1.7022653174122093,1.625771803345565,1.7386969709583366,1.6462157106875748,1.8921746858954054,1.6880709623600378,1.770472325445439,1.7151066957546917,1.6330703175089036,1.5769811007754881,1.8153893784367126,1.6511203395412253,1.7885515090999495,1.6230447814516826,1.9174587469308002,1.6720612881935977,1.733154215105659,1.613333542013908,1.7154190614437677,1.6072793023012195
Haunter,Astonish,Sludge Bomb,40,2.0637081923829417,1.871512309072711,2.202649150074779,1.8122217506822507,2.2109870734189987,1.822451015413698,1.8847900996578586,1.7258709417495175,1.830507467298995,1.7588667736545396,1.8293878612804617,1.7924536133206168,1.8540305982795064,1.8587748534609132,1.9668468240335817,1.985172632353108,1.8834744491510675,1.8670316360319286,1.7129352758046388,1.646538178044055,1.7028702629561192,1.6183474870425572,2.084648153453239,1.9306745491787216,1.7909122123604007,1.7684092134518572,1.835445364390821,1.78946250477341,1.8151610902819248,1.7312917316986467,1.80066940712748,1.670408004465133,2.2173406905233066,2.023267293211341,1.7537354846481883,1.6353110156690185,1.7391611987122033,1.655127911934857
Shadow Arbok,Acid,Gunk Shot,40,,1.6951322700370637,,1.6170215171816247,,1.6268188585387715,1.724429780302153,1.5979140647494927,,1.7058298957767082,1.7911723939164874,1.7094958743839548,1.636718056605941,1.5596419937951886,,1.9856522221042976,1.650977442279717,1.5758971747204762,1.5835811752226034,1.547451133648279,1.5835441735996618,1.5329493854952259,,1.9559142449679083,1.717465509963957,1.6153761517899508,1.8872176391160926,1.8486031047494482,1.6580619791498883,1.5913384067551162,1.6779994403212104,1.5632709650120187,2.0328145844704855,1.9634500429963595,1.5945787558720554,1.5192942340317521,1.6313016407630547,1.5716311261473273
Shadow Arbok,Acid,Sludge Wave,40,,1.8624438541620392,,1.7681566348206397,,1.7701142437481001,1.8914686152308051,1.750168365531573,,1.8628537555724138,1.9719849679920753,1.8774484305459422,1.7989456494662055,1.705307225260711,,2.1742824652632606,1.8321537708448552,1.7250265003492682,1.7410612873041003,1.690217510620914,1.7309070414616328,1.6672672041944057,,2.151619796355408,1.8990988150196215,1.7739790627749927,2.0686982326858936,2.0130718868196955,1.8405476933294016,1.7461399955756038,1.8296564653588028,1.7031849886271724,2.2393041013341204,2.1423656105846316,1.7577253521598717,1.6620161890670802,1.790237921632431,1.7221440575061489
Shadow Arbok,Acid,Acid Spray,40,,2.662407849561788,,2.444290065163212,,2.4618535931644563,2.581179405493629,2.4981221906568862,,2.6310799577971227,2.8683511724019954,2.7391626061463508,2.4713081695851216,2.4269102227159918,,3.072584721637859,2.6410317467771725,2.5026857357264385,2.4933136207414033,2.4409329698316267,2.433723161602579,2.379895197851971,,3.0511324270049283,2.742889201900834,2.599108860396017,2.9621615027976267,2.943887329778675,2.6361834866818485,2.521440375758173,2.51276245072249,2.4272980638030877,3.088777736884745,2.9658662088138033,2.4571277628839505,2.355488185476948,2.5761863850199616,2.4809175960612064
