Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Tyranitar,Smack Down or Bite,Stone Edge,40,1.2514712753903803,1.2886998109560006,1.2669779198459903,1.3247542912579415,1.2617946209547781,1.31975053133352,1.2984552326817858,1.3554795094380965,1.2739673077610552,1.3410677260215207,1.3306213175079233,1.2703443728330461,1.2415953909579194,1.2931523298811758,1.3167106146096192,1.2611660854196791,1.3144187746106544,1.2697184988381012,1.281807485044742,1.3280506254016908,1.2506591284390831,1.3062890089283214,1.2359457455623883,1.2892406995507872,1.2961963749667516,1.3530417600790365,1.2909722605194949,1.3530359013952462,1.352956724768352,1.4145435322104583,1.268452925762002,1.3289867973970937,1.2802917956993938,1.3419549003358486,1.357594469851841,1.4263103542751163,1.2850364998698156,1.3629061032411114,1.2881081651559039,1.3429060590780633,1.2542274663129234,1.3113314249808001,1.3053455977179362,1.3716638055463033,1.2745113767011578,1.3320232079356167,1.302021390599063,1.372118677901284
Archeops,Steel Wing,Ancient Power,40,1.4658361761193757,1.4670654202182405,1.5444549500813818,1.535392101318973,1.5265896171612943,1.524649450969018,1.5985770353614446,1.6172921137598362,1.9892910127623065,1.7866447109712935,2.3276710697041243,1.645832003913811,1.4789619251160713,1.488535918188636,1.4101789106580849,1.4360637764987192,1.4573408978880276,1.4385011980595053,1.9602175310228902,1.7466890789538734,1.4523692238797614,1.3072462145596013,1.4194016982189166,1.4885012932899888,1.3519778090207852,1.365866170156173,1.5123807422930569,1.5525064798985275,1.56469257992041,1.6253248946386878,1.4368393996765174,1.5122058251940267,1.424608540149169,1.5092249313037032,1.5316023519989883,1.5912664123585323,1.4659832785272762,1.5353667827076443,1.4434489956260188,1.5190496851437083,1.2960552956782798,1.3144732248830553,1.3230760033137752,1.3578193992501304,1.4516189406700355,1.5398251383652843,1.5028892017398248,1.5620390409951461
Weavile,Ice Shard or Snarl,Avalanche,50,1.1417066489126153,1.1768950973775107,1.0964796431704622,1.129633033259499,1.1634016488135326,1.215514119461145,1.1234086705463076,1.1670153187814576,1.1826359346512707,1.2494972830944124,1.1955820730436262,1.1723012783698126,1.141273295560459,1.201918700173836,1.1932329619023316,1.1771792036443713,1.1722807665297001,1.167530398737803,1.1681435704751075,1.2166866070104316,1.1428055641075876,1.1982115368468191,1.1202776463799622,1.1975898844929331,1.201039252194399,1.254968271459513,1.1162631666023273,1.151436607290575,1.134935902142469,1.1842024111954654,1.1640859109545243,1.2189901826798901,1.14515636585685,1.206655907881537,1.2427448418301756,1.304042234820544,1.1507632667624568,1.2260966836710094,1.1723794223530377,1.225254171699286,1.1750890176638973,1.2355581931159674,1.18944033069427,1.253802727886102,1.157656212400738,1.230689019010187,1.0942825324115903,1.1555861402365994
Shadow Piloswine,Ice Shard,Avalanche,30,1.5487269306767408,1.5202435888430446,1.6044179256061952,1.5865214993965047,1.458580565237269,1.5411130064874308,1.6741178972604065,1.6433707763793026,1.4530641153969899,1.555911057090766,1.468274732520792,1.4597707017208006,1.7390788851944494,1.5670547995682274,1.5581785704159459,1.5192983451000406,1.5516973619852579,1.498723909613595,1.4671597369852176,1.530722301873733,1.439612079823113,1.4870889193652215,1.651683960855752,1.5679371437581564,1.5106015123304328,1.558536307329863,1.5731649478850713,1.5978492251695804,1.5445013876855755,1.603900204114598,1.4596461752573442,1.5591233371365523,1.439231037641209,1.5215248397086405,1.5280933212501844,1.6255242470863454,1.468230166153965,1.5479416387814733,1.477960059570576,1.552739894696108,1.4521608601549956,1.5375689450534107,1.4930692561941121,1.5894676607992348,1.4471538194165932,1.5295847704606829,1.5080897648715093,1.583219516295098
Aerodactyl,Rock Throw,Rock Slide,45,1.2686638956501555,1.30079526748657,1.3186189150729783,1.3821062265162696,1.3234342252526394,1.3789977009686083,1.358449174770734,1.4159413284870046,1.3464657884388516,1.4000062560326028,1.3888754174377298,1.327379660944845,1.2750209166930382,1.3326122673695253,1.258731463891803,1.3038437910535219,1.2564684745724002,1.3047886219556062,1.4173728185099124,1.3859415632570327,1.2785216490805789,1.3378376109043073,1.2507439352918877,1.304911147119704,1.3431432154120913,1.3885796253372347,1.3649699443004466,1.4212981856284121,1.3912979632593725,1.4602710759335673,1.2924884336171119,1.3718294318993944,1.2903781567584072,1.361353426091508,1.3768572572656959,1.4581129212417543,1.3286434777577412,1.3882101081013318,1.315032189218664,1.3753298075682776,1.2750680723312156,1.33965649654402,1.3278929343138008,1.400804529964898,1.3129328092831742,1.374802812759017,1.3624004538673278,1.421161564161291
Gigalith,Smack Down,Meteor Beam,30,1.3618436523667148,1.3709095184722557,1.3751731377390057,1.4366557462781306,1.338952277483093,1.3873122307486845,1.4047896164826739,1.460706713325471,1.3718630465091337,1.3966972616451576,1.4334907366047687,1.3211771212217895,1.3248741747118264,1.367830342860363,1.3340629636980539,1.3505269027569065,1.4385582938262347,1.3430808495088813,1.3667810352499135,1.4029880852326098,1.3177530857286797,1.3790562288337205,1.3178708857107393,1.373829580947205,1.3697134931793138,1.4214481133867842,1.390293939226824,1.4357138917994816,1.4282294894198153,1.4966739599700436,1.3146056145542084,1.3737101445641133,1.3199284686177868,1.3769572992541546,1.4046766001390967,1.491043014605155,1.3478336338826797,1.3979787654654336,1.330253174947524,1.3955814580719303,1.3571807582210431,1.4134818124694548,1.3757974839222118,1.42963779070264,1.3150316836448224,1.3968610464960831,1.3778340442520645,1.4256792250635624
Golem (Alola),Rock Throw,Stone Edge,35,1.5516816975479253,1.5714106835818797,1.5162830003846453,1.5695573168813794,1.4931250276522843,1.5644818494503137,1.5954191881110273,1.647624203288028,1.5353242412326171,1.610376523790798,1.572026886180418,1.5130814880990364,1.5049874933348362,1.5521833559479272,1.4979557118149083,1.5253641063445706,1.5203308509362754,1.5412355143281826,1.5217699115044248,1.5921016463143323,1.58048084189314,1.5224243611632007,1.4500883999771872,1.5224187038919474,1.5607307063875062,1.6206919481703843,1.598731594330778,1.6470523355208735,1.6020059031703844,1.670655956768822,1.520894717705029,1.61533156964279,1.5086797225978104,1.5857504252627905,1.5914560896963055,1.6861472317646315,1.5417795735735158,1.6082508028042701,1.5040749557324953,1.5669758551543793,1.527424422257907,1.585429030231097,1.57794631342506,1.6551794819236978,1.486872008769819,1.5452929066067753,1.6012376289634596,1.6597045659893677
Shadow Sudowoodo,Rock Throw,Meteor Beam,30,1.4012649761633535,1.4042029459102057,1.573085442408372,1.5056493588929796,1.4511771270137008,1.490644105680066,1.6684891956511934,1.618291024624764,1.4524072319736887,1.5088031315911772,1.6198157956309955,1.4458532746261672,1.6664275155303736,1.4978714826358934,1.566310357537781,1.4510571134234975,1.5736963609061478,1.4773910279712161,1.5703445889158056,1.5118168784298214,1.5599596966049987,1.4691762993646618,1.3904259637610417,1.4602502038063991,1.4824448075388534,1.5158357715545085,1.5246236144046765,1.5599183808525892,1.5243542489610715,1.593400784152484,1.4122772922752862,1.483493611845982,1.3977624634710166,1.4649103676887512,1.4907058104491138,1.5603911568210078,1.4680083703796565,1.5024542184591945,1.4330593243195704,1.4769633078086706,1.4873420372826922,1.5024575857013196,1.4901568918838128,1.5392144302954214,1.4446405176332184,1.4785700917087778,1.4889159715072178,1.5359101510789854
Calyrex (Ice Rider),Confusion,Avalanche,45,1.1324728115637512,1.202419091306114,1.3154129062697177,1.4198772545802156,1.4218878275873934,1.5257473490676878,1.3631911013153402,1.4555845561935696,1.1788443320344617,1.2639822328674077,1.1272562908131794,1.1908961351115648,1.1467094682174641,1.226518031706672,1.1348152768720405,1.2047577192435281,1.3347220292596773,1.435775826794282,1.1684441587976466,1.2493656993127997,1.1326961291947717,1.2083965406252624,1.1479349295651795,1.2135320739272069,1.2070999734012235,1.2941064711023293,1.3489990624827661,1.4257100314344013,1.2657160898104232,1.3268183086388934,1.1759594769111175,1.234913549907845,1.1662123260784227,1.2440027042351813,1.0691057767286982,1.1370734894307573,1.19187263136578,1.2663477950607045,1.1899222533625715,1.2474875992354328,1.1636179571318859,1.2543671018641347,1.2109542476961577,1.293866953632769,1.1934172883077994,1.2728937728937728,1.3652371246664285,1.4469647622449624
Calyrex (Ice Rider),Confusion,Glaciate,45,1.0812935007344924,1.1394756853990233,1.2836787245693584,1.3838816581053093,1.4316378181651337,1.492117255516938,1.3554988431967725,1.4137102127357912,1.1604873449397632,1.211438261895399,1.101465552081339,1.1407376683045114,1.1192078100547518,1.173413474251876,1.093653538990804,1.1673367546570643,1.3838967099516017,1.4771340970209332,1.1291303702971276,1.1807702575765067,1.1179741946318116,1.1627697388675866,1.1181473243490776,1.161924603374296,1.170764144849337,1.2334707603450243,1.3968786190922626,1.4413169359730877,1.2082996813462754,1.2830878573841027,1.1418182730042503,1.2078689017891846,1.1210363327081607,1.1728965848126662,0.9895361335328458,1.0554490084090287,1.1419492955573343,1.1941870220542146,1.1156349308723337,1.1792980522297924,1.1094742721496893,1.1622634922851358,1.157344538676369,1.2447581712743516,1.0853185743696694,1.1578300045453331,1.326112080015129,1.3777710071231957
Shadow Aggron,Smack Down or Iron Tail,Meteor Beam,35,1.1714100727773586,1.21356169278365,1.233481570186392,1.2801449146295942,1.2409525822727145,1.28373619638939,1.269787135316977,1.3335021814924373,1.2449192078075286,1.2972263432595716,1.3301172016250824,1.2384999893646438,1.200349406312723,1.2338941463604953,1.302940259151096,1.2138629769296927,1.2877436323946154,1.235605681409428,1.2424640332229198,1.2787798487170614,1.293405916762294,1.2215959024881748,1.182701114141648,1.2357008423997826,1.216827525933807,1.267384200326785,1.2588429934373793,1.306678431588816,1.2851583723696383,1.3111646279681053,1.2054239753250497,1.278521007560465,1.2042024687050203,1.262474375190823,1.2680983793125251,1.3245273873000485,1.2309472608221874,1.27634789149365,1.1868030066723736,1.2412139263810875,1.2060182922572087,1.2562940724708511,1.2185212705082547,1.287205240547627,1.1955562685489693,1.2431886847945242,1.2455296169443804,1.2988064970267488
Shadow Aggron,Smack Down or Iron Tail,Meteor Beam,45,1.0854973628514797,1.125640962994408,1.1221978213540649,1.1659355880240792,1.118423877153396,1.164163622867087,1.1869213567142922,1.2265916516830038,1.1562399456618881,1.2184450184106101,1.2192904090357986,1.128353859570757,1.142023261963698,1.1658444491648494,1.2332756811931158,1.1400984811968962,1.1769435874792789,1.1144465612171295,1.1332891679438375,1.1748573688634003,1.2067424221220857,1.1537406588485544,1.0787145603317263,1.129634289126635,1.1239217995972186,1.1871033932439108,1.1582529090608282,1.1965036121987536,1.225906400975051,1.2799453736471902,1.1038654914302193,1.165465100241985,1.1464648667509922,1.1650455794478127,1.1980969040443423,1.255411072941474,1.125777490621896,1.1969450042912662,1.1348429236488151,1.1787703601205484,1.1217133282133631,1.1761711931857852,1.1505803376976096,1.2029772733095903,1.1095157883479052,1.157789898665811,1.158601416234162,1.203620432434704
Kyurem (White),Steel Wing,Blizzard,35,1.3233935077587444,1.3762601660777491,1.4134368149098357,1.481079432089268,1.4022813339298033,1.4608959831677473,1.4243412021731146,1.4998730416513608,1.592184874700604,1.726439334358131,1.5765745644821645,1.6101354944377086,1.3416031940765658,1.4026279169574773,1.3238632604648084,1.3660306028901679,1.356911347402999,1.3637419042960757,1.590337667474168,1.7099263360854302,1.0542136639704442,1.1039099890844972,1.3445753949482853,1.4388765319028305,1.113985256678193,1.1550898658661704,1.426636519053659,1.4835272707218883,1.4354983186243557,1.5438405850306172,1.368582068031646,1.4689494339054878,1.354178479521961,1.4463841758625202,1.425235516027735,1.4992623659086597,1.3833209577720134,1.4859063250368856,1.3454038017284848,1.4227048324870717,1.096969908538714,1.1549396076241012,1.1083382442115692,1.1798235500098218,1.34195609743055,1.4113259003769953,1.4034691433254187,1.475384001176693
Kyurem (White),Dragon Breath,Blizzard,35,1.311496562697557,1.346185678466392,1.3590085626204385,1.4162145979509586,1.271583939225605,1.332967913518403,1.3690685639528515,1.4424040884455014,1.3258678010939118,1.4206668037035712,1.23121477038266,1.2578244315402123,1.313631181262111,1.3706654759685621,1.227862050714981,1.2770062472237187,1.2683634259743868,1.2770381761328276,1.2412280615019529,1.340287734216641,1.2294858518290464,1.3122365585378823,1.2586714171170537,1.344692814272822,1.2875327734924196,1.354599688414333,1.344686483207412,1.3961727237633044,1.3384778043730452,1.4700950087372795,1.3076845919480422,1.4193989242323557,1.271993719195708,1.3666964714092555,1.3744862905435309,1.4536660414339606,1.284342182663285,1.368074909111949,1.3156419667671237,1.3874198201156234,1.5706346435802556,1.7085875863994973,1.715408200739621,1.8687727928805078,1.2641239539049758,1.3452180422983342,1.3466096530856675,1.415866445336303
Rhyperior,Smack Down,Rock Wrecker,35,1.1655860516679544,1.2346069625607368,1.2209720724800524,1.2766717384260617,1.2298097358981543,1.293638581777841,1.2700346074280302,1.3416713389916801,1.2065697279519536,1.2742868122832731,1.143534766979346,1.2072362963435646,1.1862235940297472,1.2712754197427572,1.1665541977373897,1.2226147608381297,1.1566498487913777,1.2209339725521617,1.2064666040440994,1.2756098284471251,1.1578045845111813,1.2225167231100786,1.1731666649892478,1.239189873757452,1.2177299844207168,1.2935554964471636,1.2536921634588871,1.320399272045442,1.2594164378331547,1.3752331164921658,1.22619958122798,1.2828717228581816,1.190997513848301,1.280793387708815,1.2828826740289574,1.3676579063836962,1.2243126741820076,1.3098872698868842,1.213621492313285,1.2739660166281648,1.2005864693150876,1.2799064441806884,1.2489943375438777,1.3292679802198366,1.2130290633940268,1.270032886821208,1.2463596058078208,1.3254922149145847
Mewtwo,Confusion or Psycho Cut,Ice Beam,30,1.3884350271960713,1.4742500083985621,1.5650059970554742,1.685216168743688,1.6178708314693646,1.7550523795712298,1.6328686786664863,1.7229949281106407,1.4620281163979552,1.5611169699352947,1.353785123263778,1.4489375279178098,1.4159365693155364,1.504833598494865,1.3982042775997807,1.4776772803311689,1.5529591784299805,1.6624079568660515,1.429582241558313,1.5405428387798488,1.367835651711495,1.458143244983067,1.3775903541702312,1.482767875414742,1.461545768894631,1.5434889995060228,1.616919428665968,1.711024099707715,1.5308741684899925,1.624047342839102,1.4330905124315108,1.5442782451697028,1.434814847123479,1.542319099751385,1.3007650319290185,1.385203060127716,1.456532849882834,1.5573727808368452,1.4521969581481526,1.5443906328787365,1.398066047615723,1.5067304335683867,1.479352959764961,1.5932340908896805,1.435563220234753,1.516376567471458,1.6016999012418314,1.6999747851484523
Tyrantrum,Rock Throw,Meteor Beam,40,1.1365468777199887,1.1614173108109345,1.1935125691840405,1.2337657908249788,1.1660251336731902,1.2224636505603377,1.2190166850337374,1.2487288053670516,1.1610280449004395,1.219501841061023,1.2196243592197902,1.154365813711101,1.1444660716066188,1.1809911694707318,1.1324883986881775,1.1453041859234265,1.1380023713775114,1.1618227252570736,1.1505551984970583,1.2088594452958916,1.1399871253043745,1.1928713370091522,1.1198113239196583,1.1646856349198362,1.1987213588174945,1.2323498119086522,1.239552197650692,1.2664644570672254,1.2622211779908663,1.3312383441753917,1.1474604109984077,1.1877327381922589,1.1612182143324465,1.2221725476512408,1.219983561297393,1.3073721258614512,1.1785070251400689,1.2221140030279944,1.1843404434959017,1.2376725260034946,1.1330726803044056,1.1869161488514977,1.1727091820612023,1.2323058921998173,1.1652896981364136,1.2317451405042645,1.2122039881490199,1.2788447395515958
Rhyperior,Smack Down,Rock Wrecker,45,1.0795420187700229,1.144163610099042,1.1150676729340474,1.184235607540563,1.124894921320034,1.182922932469435,1.177779066695023,1.2465582687263566,1.1370048797054302,1.201352643620634,1.0530916980409673,1.112203007678727,1.118581393030081,1.183828470111888,1.0940032323003204,1.1443741907435234,1.0675671303477323,1.122455194097059,1.1113323775152024,1.1757373807287288,1.0818438803213075,1.1412689971731647,1.0786675926019116,1.138608480359102,1.1388551126648174,1.2016092259756053,1.1655324546407102,1.2323719186014448,1.1885637087181897,1.263836473369653,1.1147360106322954,1.2208332810913147,1.1167073755833734,1.1863196231517426,1.1992665809606102,1.2597315011907522,1.133887501325953,1.2160676573544587,1.118144400014072,1.2001243008079554,1.1165049221531802,1.191845283809258,1.1506486629600212,1.2134224978007806,1.145771503435737,1.1968396566936712,1.167226996701057,1.2254943161522136
Kyurem (White),Steel Wing,Blizzard,45,1.1764690612239912,1.23626682384703,1.2771435446861161,1.3336106063563102,1.2201760897457956,1.3193982207496187,1.257972919848681,1.350674425948482,1.434407732456297,1.5666468558967575,1.378718652287665,1.4595345968136473,1.2193218222883078,1.3033462373795393,1.2484013345052785,1.3044051905828535,1.1981318265126095,1.2544815418902124,1.4504414890987294,1.5616868542047757,0.9817851045369308,1.0299252707884352,1.2184402016928513,1.2898546348762232,1.0356708591404797,1.0981684842497246,1.2776043677273479,1.3361054431147632,1.3144539567394529,1.4500359770334366,1.2481663051518987,1.3108692653936331,1.2327495965455577,1.3172351376106775,1.316539863853822,1.434044974604312,1.2589128149741078,1.353581037425626,1.2499149829379552,1.3492500908803078,1.0217552188787264,1.074495566571249,1.0449751039825088,1.0967400309171813,1.2272532819978075,1.354054704419668,1.29355340295434,1.3983106049463134
Kyurem (White),Dragon Breath,Blizzard,45,1.1353848221184533,1.1979510562337181,1.2032670215003438,1.2611627655805016,1.171453993973031,1.2634185269484823,1.1624989527547385,1.262994541435467,1.199154095020198,1.2894241768848531,1.155308106268479,1.2071661029927891,1.1776683414471316,1.248967170545828,1.1600442314780686,1.223939814946081,1.1642778432264438,1.2181476991357603,1.2003717802936669,1.2875740347060858,1.172702846427272,1.2541716812673178,1.1930474340522752,1.2617712872848292,1.2193829083862144,1.2922065584983091,1.248453096564275,1.3233772679644846,1.263748366348992,1.3962172719129502,1.1690509923893826,1.2466241207668292,1.2084769049592183,1.3032123696951192,1.2829037492887099,1.4177327235558177,1.2116992449300379,1.3030308874723961,1.2094937673698654,1.2984040245318198,1.5035537247783286,1.6156740906234728,1.6024750826308642,1.767275615567911,1.1862383358733724,1.2917970107751129,1.219894517871026,1.3120127755247841
Gigalith,Smack Down,Meteor Beam,45,1.1604552936900838,1.197489898820231,1.2324697447130224,1.2683573373452655,1.1618662301292735,1.2222358776712106,1.2516610920995819,1.3029432425291134,1.216673220605584,1.2606866442641118,1.179471635505073,1.1921915214940548,1.190517476818235,1.2222761697091604,1.1677582768625894,1.1944464921980587,1.147957969902918,1.1666644462757383,1.1770583873040985,1.2213299055717606,1.1520781438047525,1.202527358728204,1.1323986755100193,1.1914169828601335,1.2283884941292702,1.273017441197705,1.22025037224949,1.267446092759058,1.2334395512415748,1.2978457833448362,1.2001705179482678,1.2624722594881954,1.201999825533214,1.2521590264753348,1.233071297603743,1.3052751375160698,1.1850066056567565,1.2428374429840212,1.1729891999014976,1.23660541529369,1.176771626055994,1.2384416672484815,1.194188936431884,1.2558183231272473,1.194901205850111,1.2404213791075105,1.2174045512807044,1.2916202643356938
Shadow Articuno,Frost Breath,Ice Beam or Blizzard,40,1.289622125782975,1.3528297046454738,1.3601928152812173,1.4195835599203424,1.3745061506873333,1.424843959184409,1.3688430034349646,1.4363809781592973,1.3434874700604154,1.4512409287527257,1.2954097802735411,1.3684725501457042,1.316810952110527,1.3961318206843334,1.3227612539813056,1.3707316151105313,1.280022381540558,1.3301772062280062,1.3586750383151234,1.4006525930686706,1.4379915474824372,1.3910548853872204,1.2978089554041405,1.3785800313341856,1.3677755823232132,1.4580309305771937,1.394308718910274,1.4668835824187945,1.4122821186801569,1.4950292955843698,1.3393808693907745,1.4232105018995198,1.3278339948532298,1.4006629737863654,1.4255516449240238,1.4995784948049484,1.3369559976470362,1.4117976065342965,1.336233685518956,1.4245458916237672,1.3156461635132306,1.392229281575089,1.3594165022590041,1.4346938601211066,1.3351247292853132,1.4063661399427823,1.3625790590657898,1.4420688785694775
Aerodactyl,Rock Throw,Rock Slide,40,1.3394851528691014,1.378420887071406,1.3639198952552205,1.4059296004426263,1.353211843534773,1.4023599893159766,1.3784157918140867,1.4463700868085765,1.4774604082508132,1.4704983376827654,1.4539531618913917,1.3881075447216726,1.3329829155052302,1.3941398578965392,1.3218047955239256,1.3697940589942064,1.3263613058182488,1.3645107939547,1.4863716814159291,1.4659870470163643,1.3138822805004338,1.371071118699096,1.3140832737849617,1.3766476447360918,1.4103051259642059,1.4601683322567163,1.388231401312524,1.4419566536149562,1.424015036931526,1.491108533164951,1.3475431623556553,1.412001454417794,1.35174684869368,1.4212282461726349,1.442601530063858,1.5188412822188033,1.350389106934493,1.4198979739438182,1.3440552552270835,1.397047269486497,1.346687146547511,1.4166934301473155,1.3549155755976325,1.4216522756582712,1.3430790620571642,1.4082644849068207,1.3957155764745435,1.455548317959278
Shadow Glaceon,Frost Breath,Avalanche,40,1.0505746143532955,1.0659058078347896,1.0935142745078719,1.1199088978113116,1.0526319239271325,1.0998710379397532,1.1219418827214198,1.1650793650793652,1.0730972723697851,1.1261193829764415,1.0665496777487078,1.0409269776444812,1.0592928640479977,1.099723856301235,1.0960276730273044,1.0788473352424697,1.0817002358055166,1.0525147830456023,1.068490631334355,1.0918752162950511,1.0937501749279297,1.0804416580368887,1.1117630679321115,1.116895969833298,1.0808887791161608,1.1197514914313942,1.1070865273258699,1.145811503887939,1.1192675369682374,1.1713681551858324,1.0568602128966735,1.1015083315571046,1.0425589915819775,1.0998495223971736,1.1026470526249237,1.1606672427237665,1.0617653014976036,1.1106953779689293,1.0665712912039589,1.1068048829109842,1.0580395168609928,1.0987293164839769,1.0758239599613963,1.1117801293055591,1.064008983717013,1.1166680035293175,1.0865814965014393,1.143073270156122
Crabominable,Frost Breath,Glaciate,50,1.1304113463047853,1.1375088948408396,1.3609374733543151,1.20906322772326,1.116634467117952,1.167848955440085,1.1971450483021737,1.2018276846535068,1.1107988059914917,1.1706958495692275,1.256158934762725,1.0931380681939038,1.1690654031394547,1.148807640120168,1.1686164431464836,1.123536249964558,1.1375760563192643,1.1289450795819829,1.1186374647748059,1.1638720522074455,1.078115816283691,1.1072070307033501,1.3588401654606026,1.1792154376218227,1.132604400197591,1.1695766994718244,1.1835327855291458,1.243611095792202,1.173835151764343,1.2545999207036815,1.112103012901689,1.1595095101370412,1.1287455838094822,1.1485148514851484,1.1626799300301376,1.2462644102088558,1.1321709948986973,1.1666554161563758,1.1533473269463044,1.1889958605485653,1.1103400125671996,1.155875165817217,1.1464551999795025,1.1924466422403854,1.09864709499746,1.1507178952434427,1.1901935239856276,1.2267235401651573
Crabominable,Frost Breath,Avalanche,50,1.1475718993271988,1.2091562651746748,1.359620584395529,1.2825191043639237,1.1769270979275945,1.2437645123284125,1.2559286970980028,1.2956402374185565,1.1856701104636613,1.2572927465770563,1.201023121264331,1.1762299789419948,1.195574331207706,1.2354504350238644,1.1958206923927528,1.2130350543914863,1.1860732005793317,1.1976484156876328,1.1850674840559647,1.247852869926336,1.1132525399535391,1.1781605978336924,1.3299281729217618,1.2511029029411864,1.1981703841623286,1.2628054109510964,1.2760822809242818,1.3120057353995478,1.2437480726589232,1.3212528818338007,1.1897012174479982,1.2555763130508921,1.158437649932394,1.2382343961268374,1.25942590992434,1.332009104512213,1.1932034060116299,1.2658656303339473,1.1822062220762926,1.25622383526625,1.1568386511205753,1.227389513370104,1.219802369178474,1.2879824404075602,1.1766262934146146,1.2457153552044062,1.2423567481246454,1.3072219537307475
Crabominable,Bubble,Ice Punch,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,Rock Smash,Ice Punch,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Glalie,Frost Breath,Avalanche,30,1.259367450837871,1.289475532697893,1.3031989980275087,1.3682722606341151,1.3034262613947893,1.3652821680046276,1.306389807242426,1.3610334538470958,1.2981222965001966,1.3638553247774639,1.3246570097632568,1.291525748197307,1.3009164329343628,1.3353281861650705,1.3377734932471386,1.3105314393187595,1.295681847162245,1.2752187243663797,1.296658921243882,1.3242952489247046,1.3380895071230652,1.3298860869321838,1.373138484351359,1.353589844234879,1.3219401907512256,1.3885606262111945,1.3311421165830255,1.393106490928142,1.362090485910219,1.440681948339917,1.2777561844101457,1.364770490364482,1.2610677367296201,1.3292188249661971,1.3578052224493666,1.4253198170667454,1.2816420601934446,1.3295210175604395,1.288706216213047,1.3573648228713486,1.2659917615024785,1.3240522236961532,1.3000418492232273,1.3630206598512218,1.2700997299537446,1.3438811796476031,1.3434683028303671,1.4097623500241643
Mega Glalie,Ice Shard,Avalanche,30,1.288224910440787,1.3204112546841071,1.3596925869573042,1.4090655014883686,1.3391882436416134,1.3843872335753624,1.3630286977424615,1.4310384161784893,1.3142137060737138,1.3895810245593965,1.3474570863378212,1.3195180056580094,1.3218157857090216,1.364737273330241,1.3347925940627745,1.3287457351592995,1.3384237381359754,1.3228689480866256,1.3461373411776338,1.3725317644732289,1.3881496823308797,1.3787819418399618,1.4010473803748695,1.3738362906228927,1.3444256564198047,1.4021924991450394,1.340583466607842,1.3932829647603815,1.3658056652814285,1.4390960219680171,1.2929648808255074,1.3719798889125718,1.2865725999912767,1.3755506607929515,1.385129296718582,1.4468481949040022,1.2957502000983616,1.3664548356300448,1.2958007434595495,1.3806067286607175,1.3010053759687217,1.3662500872722196,1.3376805281542785,1.4044001468993141,1.304363519691987,1.3652843506858106,1.3403269525750667,1.4000441259902083
Mega Glalie,Ice Fang,Avalanche,30,1.2854991952650432,1.3236592077254554,1.3474976267576677,1.4065113053496008,1.339814209423243,1.3901225221505038,1.3510559454530222,1.4227197442788186,1.3062931219390126,1.3994141672326885,1.3534618084359644,1.3387467296279751,1.3200470788158334,1.370812868209661,1.3294507924806487,1.3278062888088689,1.35409081652656,1.338385674291489,1.3462203984772827,1.3791466851238443,1.3808111058244004,1.3917406028716168,1.4012587351590362,1.3883795126762548,1.3376144697343924,1.4083387164190448,1.3306678431588816,1.3950256438537474,1.3417377641375057,1.4285672329990162,1.2773173514550447,1.3634289153303158,1.2776638897369914,1.366892746543377,1.3655398427785623,1.4398406710362706,1.2916710865099954,1.356358306251748,1.302320672631542,1.3876660764332704,1.2934650562033094,1.3768903162745236,1.3239386097517232,1.405313997284071,1.305820699981284,1.3733723697227347,1.335021327561934,1.3953478598894749
Lycanroc (Midday),Rock Throw,Stone Edge,30,1.4694231256699761,1.4761068541429343,1.593141945471323,1.5856707322850012,1.5225880243897243,1.5656780667817,1.6924063440506802,1.6608845839052904,1.495888892860973,1.5499276087655953,1.57972050283964,1.4761512773062768,1.5206154059572474,1.5167940453534596,1.5353010670371525,1.4750082697742115,1.5424459445828487,1.4908370810360216,1.5625688436248577,1.5399100212587136,1.5760894511461276,1.535618125332363,1.4189823434884274,1.4879175515051482,1.5183436561918153,1.5638180643690391,1.5690067832129266,1.609761208845751,1.581168592784035,1.6319182366848266,1.4920821996815326,1.557781762102386,1.4678653988746893,1.520292668033323,1.5405171868743281,1.608548125355645,1.4950770981398085,1.542396744423765,1.4873647056064356,1.5326758680535197,1.4641066815611254,1.5097954339174755,1.5187424735453126,1.5768018652796638,1.471351033394829,1.5133151520012833,1.5276838057615936,1.5833140719884011
